,苏锡[宇谷],杭州[宇谷],郑州[宇谷],广佛[宇谷],上海[宇谷],福州[宇谷],金华[宇谷],北京[宇谷],济南[宇谷],成都[宇谷],深圳[宇谷],武汉[宇谷],长沙[宇谷],合肥[宇谷],九江[宇谷],西安[宇谷],泉州[宇谷],东莞[宇谷],南昌[宇谷]
采样用户数,1467.0,4760.0,222.0,479.0,741.0,587.0,1195.0,401.0,306.0,2850.0,873.0,650.0,258.0,381.0,32.0,206.0,299.0,167.0,10.0
轨迹一里程数,100221.67299999992,308660.3449999996,14945.292000000009,31498.931000000004,53204.36999999999,34620.68300000003,83519.12599999997,28833.717,20894.552,191253.1279999998,53697.64899999995,39695.33999999998,15368.477,24517.197999999986,2058.755,14784.73500000001,19111.72199999998,12523.700000000006,673.302
轨迹二里程数,106605.36099999976,325362.8679999993,16083.315,33041.254,56337.22699999996,36042.93200000002,87277.893,31587.063000000027,22222.629,208995.95900000032,56491.817000000025,41190.51999999998,16112.738999999998,26064.69099999999,2123.294,16098.679999999997,19777.962,13165.382000000003,705.1759999999998
轨迹一用电量,2505.5418249999984,7716.508624999991,373.6323000000002,787.4732750000002,1330.1092499999997,865.5170750000007,2087.9781499999995,720.842925,522.3638,4781.328199999995,1342.4412249999987,992.3834999999996,384.21192500000006,612.9299499999996,51.468875000000004,369.61837500000024,477.79304999999954,313.0925000000002,16.83255
轨迹二用电量,2665.134024999994,8134.071699999983,402.08287500000006,826.0313500000001,1408.4306749999992,901.0733000000006,2181.947325,789.6765750000008,555.565725,5224.898975000008,1412.2954250000007,1029.7629999999997,402.818475,651.6172749999998,53.08235,402.4669999999999,494.44905,329.1345500000001,17.629399999999997
轨迹一碳排放量,2498.0251995249982,7693.359099124991,372.5114031000003,785.1108551750002,1326.1189222499997,862.9205237750008,2081.7142155499996,718.6803962250001,520.7967086000001,4766.984215399995,1338.4139013249987,989.4063494999997,383.05928922500004,611.0911601499997,51.31446837500001,368.5095198750003,476.35967084999953,312.1532225000002,16.78205235
轨迹二碳排放量,2657.1386229249943,8109.669484899984,400.87662637500006,823.5532559500001,1404.205382974999,898.3700801000007,2175.4014830250003,787.3075452750007,553.8990278250001,5209.224278075008,1408.0585387250007,1026.6737109999997,401.61001957499997,649.6624231749998,52.92310295,401.259599,492.96570285,328.1471463500001,17.5765118
柜子覆盖度,0.568260642,0.563784355,0.596720099,0.552695483,0.587603834,0.524166667,0.535855004,0.678936125,0.54429573,0.614117647,0.547033285,0.523274854,0.538454462,0.56244886,0.491463415,0.62655087,0.520043337,0.571172325,0.54469712
