,苏锡[宇谷],杭州[宇谷],上海[宇谷],西安[宇谷],郑州[宇谷],济南[宇谷],金华[宇谷],成都[宇谷],长沙[宇谷],东莞[宇谷],福州[宇谷],深圳[宇谷],合肥[宇谷],广佛[宇谷],武汉[宇谷],泉州[宇谷],惠州[宇谷],九江[宇谷],北京[宇谷],南昌[宇谷]
采样用户数,548.0,1743.0,176.0,72.0,83.0,118.0,411.0,1075.0,98.0,50.0,206.0,339.0,128.0,132.0,230.0,110.0,2.0,14.0,146.0,3.0
轨迹一里程数,38176.288000000015,113821.1630000002,12729.278000000004,5187.737999999998,5919.478999999999,8092.092999999998,27436.799,79119.21200000006,6196.251000000001,3312.8640000000005,12255.35500000001,22763.80799999998,8838.530999999995,8990.262999999999,15215.13699999999,6837.787999999997,183.168,698.864,10479.715999999997,205.341
轨迹二里程数,40643.14200000003,120605.32000000024,13536.881,5633.358000000001,6309.610999999999,8595.031999999997,28801.62399999997,86537.44800000008,6532.368999999996,3551.6170000000006,12667.641000000009,24287.871999999985,9606.102000000004,9447.696000000002,15811.258000000014,7139.8179999999975,194.455,712.345,11456.950999999995,220.751
轨迹一用电量,954.4072000000004,2845.5290750000054,318.2319500000001,129.69344999999996,147.986975,202.30232499999997,685.919975,1977.9803000000015,154.90627500000005,82.82160000000002,306.3838750000003,569.0951999999995,220.9632749999999,224.756575,380.37842499999977,170.94469999999993,4.5792,17.471600000000002,261.9928999999999,5.133525000000001
轨迹二用电量,1016.0785500000007,3015.133000000006,338.422025,140.83395000000004,157.740275,214.87579999999994,720.0405999999994,2163.436200000002,163.3092249999999,88.79042500000003,316.69102500000025,607.1967999999996,240.15255000000013,236.19240000000005,395.2814500000004,178.49544999999995,4.861375000000001,17.808625000000003,286.4237749999999,5.518775000000001
轨迹一碳排放量,951.5439784000005,2836.9924877750054,317.27725415000015,129.30436964999996,147.543014075,201.69541802499998,683.862215075,1972.0463591000016,154.44155617500004,82.57313520000002,305.4647233750003,567.3879143999995,220.30038517499992,224.082305275,379.2372897249998,170.43186589999993,4.5654624,17.4191852,261.2069212999999,5.118124425
轨迹二碳排放量,1013.0303143500008,3006.087601000006,337.406758925,140.41144815000004,157.267054175,214.23117259999995,717.8804781999994,2156.945891400002,162.81929732499992,88.52405372500003,315.7409519250003,605.3752095999997,239.43209235000015,235.48382280000007,394.0956056500004,177.95996364999996,4.846790875000001,17.755199125000004,285.5645036749999,5.502218675000001
柜子覆盖度,0.568260642,0.563784355,0.587603834,0.62655087,0.596720099,0.54429573,0.535855004,0.614117647,0.538454462,0.571172325,0.524166667,0.547033285,0.56244886,0.552695483,0.523274854,0.520043337,0.631546,0.491463415,0.678936125,0.54469712
