,苏锡[宇谷],泉州[宇谷],杭州[宇谷],郑州[宇谷],广佛[宇谷],上海[宇谷],福州[宇谷],金华[宇谷],济南[宇谷],成都[宇谷],深圳[宇谷],武汉[宇谷],北京[宇谷],长沙[宇谷],合肥[宇谷],九江[宇谷],西安[宇谷],东莞[宇谷],南昌[宇谷],惠州[宇谷]
采样用户数,480.0,107.0,1097.0,70.0,183.0,196.0,190.0,286.0,80.0,732.0,268.0,188.0,207.0,74.0,101.0,9.0,53.0,72.0,17.0,2.0
轨迹一里程数,33822.227999999974,6745.842,70555.68799999991,4621.401999999999,11857.673000000004,14608.650000000003,11853.07,18976.177000000003,5066.356000000001,51391.719,17757.055999999993,12034.487,15447.08799999999,4138.205000000003,6876.069000000001,594.874,3630.234,4987.491000000001,1133.5369999999998,111.244
轨迹二里程数,35869.789000000026,6953.726999999998,75068.38699999987,4977.882999999999,12550.478,15577.254000000004,12329.206000000004,19841.27500000001,5363.909000000002,55848.39200000001,18815.257999999987,12414.738999999992,16999.407000000003,4317.97,7371.683999999999,615.541,3926.396,5236.318000000003,1167.157,116.098
轨迹一用电量,845.5556999999994,168.64605,1763.8921999999977,115.53504999999998,296.4418250000001,365.2162500000001,296.32675,474.4044250000001,126.65890000000002,1284.792975,443.92639999999983,300.862175,386.1771999999998,103.45512500000007,171.90172500000006,14.871850000000002,90.75585000000001,124.68727500000003,28.338424999999997,2.7811000000000003
轨迹二用电量,896.7447250000007,173.84317499999997,1876.7096749999969,124.44707499999998,313.76195,389.4313500000001,308.2301500000001,496.03187500000024,134.09772500000005,1396.2098000000003,470.3814499999997,310.3684749999998,424.9851750000001,107.94925,184.2921,15.388525000000001,98.15990000000001,130.90795000000008,29.178925,2.90245
轨迹一碳排放量,843.0190328999994,168.14011185,1758.6005233999979,115.18844485,295.55249952500014,364.1206012500001,295.43776975000003,472.98121172500015,126.27892330000003,1280.938596075,442.59462079999986,299.95958847500003,385.0186683999998,103.14475962500008,171.38601982500006,14.827234450000002,90.48358245000001,124.31321317500003,28.253409724999997,2.7727567000000004
轨迹二碳排放量,894.0544908250007,173.32164547499997,1871.079545974997,124.07373377499998,312.82066415,388.26305595000014,307.30545955000014,494.54377937500027,133.69543182500007,1392.0211706000002,468.9703056499997,309.4373695749998,423.71021947500014,107.62540225000002,183.7392237,15.342359425000003,97.86542030000001,130.51522615000007,29.091388225000003,2.89374265
柜子覆盖度,0.568260642,0.520043337,0.563784355,0.596720099,0.552695483,0.587603834,0.524166667,0.535855004,0.54429573,0.614117647,0.547033285,0.523274854,0.678936125,0.538454462,0.56244886,0.491463415,0.62655087,0.571172325,0.54469712,0.631546
