,苏锡[宇谷],杭州[宇谷],郑州[宇谷],成都[宇谷],金华[宇谷],西安[宇谷],长沙[宇谷],上海[宇谷],福州[宇谷],深圳[宇谷],合肥[宇谷],广佛[宇谷],济南[宇谷],北京[宇谷],武汉[宇谷],九江[宇谷],泉州[宇谷],南昌[宇谷],东莞[宇谷]
采样用户数,179.0,754.0,43.0,419.0,145.0,18.0,45.0,23.0,89.0,108.0,55.0,41.0,46.0,28.0,77.0,6.0,4.0,1.0,4.0
轨迹一里程数,11334.987,47583.919,2597.4969999999994,27320.72200000001,9404.050999999998,1154.641,2457.216999999999,1829.3929999999996,5212.061999999998,6350.229000000002,3458.96,2799.788,2906.1829999999995,1934.802,4668.053999999999,369.296,239.536,111.338,271.864
轨迹二里程数,12114.251000000007,50197.365000000034,2782.195,29589.14800000001,9856.578,1256.681,2555.531,1898.9669999999996,5502.326999999999,6616.418,3653.534,2926.253,3073.1939999999995,2226.3740000000003,4825.226999999997,374.865,245.931,122.035,283.441
轨迹一用电量,283.37467499999997,1189.5979750000001,64.93742499999999,683.0180500000002,235.10127499999996,28.866025000000004,61.430424999999985,45.734824999999994,130.30154999999996,158.75572500000007,86.474,69.99470000000001,72.654575,48.37005,116.70134999999999,9.2324,5.9884,2.78345,6.7966
轨迹二用电量,302.8562750000002,1254.934125000001,69.55487500000001,739.7287000000002,246.41445,31.417025000000002,63.888275,47.474174999999995,137.55817499999998,165.41045,91.33835,73.15632500000001,76.82985,55.65935000000001,120.63067499999994,9.371625,6.148275000000001,3.050875,7.086024999999999
轨迹一碳排放量,282.524550975,1186.0291810750002,64.74261272499999,680.9689958500003,234.39597117499997,28.779426925000006,61.246133724999986,45.597620524999996,129.91064534999995,158.27945782500007,86.21457800000002,69.78471590000001,72.43661127499999,48.224939850000005,116.35124594999999,9.204702800000002,5.9704348000000005,2.77509965,6.7762102
轨迹二碳排放量,301.94770617500023,1251.169322625001,69.34621037500001,737.5095139000003,245.67520665,31.322773925000003,63.696610175,47.331752474999995,137.145500475,164.91421865,91.06433495000002,72.93685602500001,76.59936044999999,55.49237195000001,120.26878297499994,9.343510125000002,6.129830175000001,3.0417223750000004,7.064766925
柜子覆盖度,0.568260642,0.563784355,0.596720099,0.614117647,0.535855004,0.62655087,0.538454462,0.587603834,0.524166667,0.547033285,0.56244886,0.552695483,0.54429573,0.678936125,0.523274854,0.491463415,0.520043337,0.54469712,0.571172325
