,苏锡[宇谷],杭州[宇谷],广佛[宇谷],上海[宇谷],福州[宇谷],郑州[宇谷],金华[宇谷],西安[宇谷],成都[宇谷],深圳[宇谷],济南[宇谷],长沙[宇谷],武汉[宇谷],合肥[宇谷],九江[宇谷],惠州[宇谷],泉州[宇谷],北京[宇谷],东莞[宇谷],南昌[宇谷]
采样用户数,941.0,3226.0,112.0,473.0,356.0,166.0,657.0,49.0,1756.0,445.0,188.0,187.0,310.0,297.0,25.0,2.0,112.0,82.0,12.0,5.0
轨迹一里程数,59978.29400000006,201572.45999999903,6842.226999999997,34990.883,21958.59600000002,10802.528,43765.42499999998,3140.263999999999,116247.4699999998,27788.988000000005,11407.413000000004,10645.113,19013.94099999999,17471.251999999986,1245.97,176.107,6545.846999999999,5498.053,714.199,271.404
轨迹二里程数,64025.88100000005,211955.02799999973,7213.3110000000015,36959.88800000002,22870.050999999985,11526.029000000002,45718.476999999984,3455.996000000001,125874.24999999984,29370.32599999999,12003.637000000002,11082.775999999998,19734.063,18568.84399999999,1266.1620000000005,191.133,6750.631999999998,5925.7750000000015,745.31,282.727
轨迹一用电量,1499.4573500000015,5039.311499999976,171.05567499999995,874.7720750000001,548.9649000000005,270.0632,1094.1356249999997,78.50659999999999,2906.1867499999953,694.7247000000002,285.1853250000001,266.127825,475.3485249999998,436.78129999999965,31.149250000000002,4.402675,163.64617499999997,137.451325,17.854975,6.7851
轨迹二用电量,1600.6470250000013,5298.875699999993,180.33277500000005,923.9972000000006,571.7512749999996,288.1507250000001,1142.9619249999996,86.39990000000003,3146.856249999996,734.2581499999998,300.0909250000001,277.0694,493.35157499999997,464.22109999999975,31.654050000000012,4.778325000000001,168.76579999999996,148.14437500000005,18.632749999999998,7.068175
轨迹一碳排放量,1494.9589779500016,5024.193565499976,170.54250797499995,872.1477587750002,547.3180053000006,269.25301040000005,1090.8532181249996,78.27108019999999,2897.4681897499954,692.6405259000002,284.32976902500013,265.329441525,473.92247942499984,435.4709560999997,31.055802250000003,4.389466975,163.15523647499998,137.03897102500002,17.801410075,6.7647447000000005
轨迹二碳排放量,1595.8450839250015,5282.979072899994,179.79177667500005,921.2252084000006,570.0360211749996,287.2862728250001,1139.5330392249998,86.14070030000003,3137.4156812499964,732.0553755499998,299.1906522250001,276.2381918,491.871520275,462.8284366999998,31.559087850000015,4.763990025000001,168.25950259999996,147.69994187500006,18.57685175,7.046970475
柜子覆盖度,0.568260642,0.563784355,0.552695483,0.587603834,0.524166667,0.596720099,0.535855004,0.62655087,0.614117647,0.547033285,0.54429573,0.538454462,0.523274854,0.56244886,0.491463415,0.631546,0.520043337,0.678936125,0.571172325,0.54469712
