,杭州[宇谷],苏锡[宇谷],郑州[宇谷],上海[宇谷],金华[宇谷],成都[宇谷],济南[宇谷],泉州[宇谷],深圳[宇谷],长沙[宇谷],广佛[宇谷],武汉[宇谷],福州[宇谷],合肥[宇谷],北京[宇谷],惠州[宇谷],西安[宇谷],九江[宇谷],东莞[宇谷],南昌[宇谷]
采样用户数,1558.0,457.0,80.0,151.0,363.0,832.0,94.0,96.0,223.0,90.0,118.0,184.0,180.0,127.0,110.0,2.0,48.0,17.0,27.0,4.0
轨迹一里程数,98998.55999999984,31533.067000000006,5919.025999999998,12146.538000000006,25481.108000000004,55825.62499999999,7241.185999999998,6242.010999999999,13895.145000000002,5475.085999999999,7608.262000000001,11677.767000000003,11537.818,7934.908999999999,7620.478999999997,171.784,3582.561,1057.258,1919.0810000000004,260.466
轨迹二里程数,104495.69299999994,33806.45700000002,6265.867999999999,13303.381999999994,26665.015000000003,60178.06800000004,7839.885999999999,6507.542000000001,14588.931999999995,5707.02,7911.770000000002,12145.799,12079.092000000002,8592.660999999998,8377.975,177.577,3972.23,1085.526,2052.074,271.589
轨迹一用电量,2474.9639999999963,788.3266750000003,147.97564999999994,303.6634500000002,637.0277000000001,1395.640625,181.02964999999995,156.05027499999997,347.37862500000006,136.87715,190.20655000000002,291.9441750000001,288.44545,198.37272499999997,190.51197499999992,4.2946,89.56402500000002,26.43145,47.97702500000001,6.51165
轨迹二用电量,2612.392324999999,845.1614250000005,156.64669999999998,332.58454999999987,666.6253750000001,1504.4517000000012,195.99714999999998,162.68855000000005,364.7232999999999,142.67550000000003,197.79425000000006,303.64497500000004,301.97730000000007,214.81652499999996,209.44937500000003,4.439425,99.30575,27.138150000000003,51.30185,6.789725000000001
轨迹一碳排放量,2467.5391079999963,785.9616949750002,147.53172304999995,302.75245965000016,635.1166169000002,1391.453703125,180.48656104999998,155.582124175,346.33648912500007,136.46651855,189.63593035000002,291.0683424750001,287.58011365,197.777606825,189.94043907499994,4.2817162,89.29533292500001,26.352155650000004,47.833093925000014,6.492115050000001
轨迹二碳排放量,2604.5551480249987,842.6259407250005,156.17675989999998,331.5867963499999,664.6254988750002,1499.9383449000013,195.40915854999997,162.20048435000004,363.62913009999994,142.2474735,197.20086725000007,302.73404007500005,301.0713681000001,214.17207542499997,208.82102687500003,4.426106725,99.00783275,27.056735550000006,51.147944450000004,6.769355825000001
柜子覆盖度,0.563784355,0.568260642,0.596720099,0.587603834,0.535855004,0.614117647,0.54429573,0.520043337,0.547033285,0.538454462,0.552695483,0.523274854,0.524166667,0.56244886,0.678936125,0.631546,0.62655087,0.491463415,0.571172325,0.54469712
