,苏锡[宇谷],泉州[宇谷],杭州[宇谷],广佛[宇谷],上海[宇谷],郑州[宇谷],金华[宇谷],西安[宇谷],济南[宇谷],北京[宇谷],长沙[宇谷],成都[宇谷],深圳[宇谷],福州[宇谷],武汉[宇谷],合肥[宇谷],九江[宇谷],东莞[宇谷],南昌[宇谷],惠州[宇谷]
采样用户数,1583.0,284.0,4190.0,544.0,711.0,257.0,1031.0,179.0,306.0,596.0,246.0,2529.0,810.0,586.0,677.0,364.0,42.0,237.0,18.0,1.0
轨迹一里程数,111208.2490000001,19091.709,278451.2530000008,36582.73800000001,54141.28600000005,18822.77700000001,72910.43800000002,12242.602000000006,20919.187,45639.19399999995,15757.547000000006,184108.49799999967,51205.49700000002,37396.437999999966,43662.63499999999,24924.446000000007,2748.264,16222.117,1449.5250000000003,49.214
轨迹二里程数,118221.85399999996,19820.44399999999,294725.2380000004,38405.34800000003,57357.928000000014,20200.339,76030.87100000003,13060.699000000004,22271.680000000004,50092.30299999999,16585.878999999997,200697.44799999995,54091.75199999996,39031.045000000006,45549.22800000002,26437.215000000007,2824.5670000000005,17031.445999999993,1500.823,49.214
轨迹一用电量,2780.2062250000026,477.292725,6961.28132500002,914.5684500000003,1353.5321500000014,470.56942500000025,1822.7609500000008,306.06505000000016,522.979675,1140.9798499999988,393.93867500000016,4602.712449999992,1280.1374250000006,934.9109499999992,1091.5658749999998,623.1111500000002,68.70660000000001,405.552925,36.23812500000001,1.23035
轨迹二用电量,2955.546349999999,495.5110999999997,7368.130950000011,960.1337000000008,1433.9482000000005,505.00847500000003,1900.7717750000008,326.5174750000001,556.7920000000001,1252.3075749999998,414.64697499999994,5017.436199999999,1352.293799999999,975.7761250000002,1138.7307000000005,660.9303750000003,70.61417500000002,425.78614999999985,37.520575,1.23035
轨迹一碳排放量,2771.865606325003,475.860846825,6940.39748102502,911.8247446500004,1349.4715535500013,469.1577167250003,1817.2926671500009,305.1468548500002,521.4107359750001,1137.556910449999,392.75685897500017,4588.904312649992,1276.2970127250005,932.1062171499992,1088.2911773749997,621.2418165500003,68.50048020000001,404.33626622500003,36.12941062500001,1.22665895
轨迹二碳排放量,2946.6797109499994,494.02456669999975,7346.026557150011,957.2532989000008,1429.6463554000004,503.49344957500006,1895.0694596750009,325.53792257500015,555.1216240000001,1248.550652275,413.403034075,5002.383891399999,1348.2369185999992,972.8487966250002,1135.3145079000005,658.9475838750003,70.40233247500002,424.50879154999984,37.40801327500001,1.22665895
柜子覆盖度,0.568260642,0.520043337,0.563784355,0.552695483,0.587603834,0.596720099,0.535855004,0.62655087,0.54429573,0.678936125,0.538454462,0.614117647,0.547033285,0.524166667,0.523274854,0.56244886,0.491463415,0.571172325,0.54469712,0.631546
