,苏锡[宇谷],杭州[宇谷],广佛[宇谷],上海[宇谷],福州[宇谷],郑州[宇谷],金华[宇谷],西安[宇谷],成都[宇谷],深圳[宇谷],济南[宇谷],长沙[宇谷],武汉[宇谷],合肥[宇谷],九江[宇谷],惠州[宇谷],泉州[宇谷],北京[宇谷],东莞[宇谷],南昌[宇谷]
采样用户数,377.0,1260.0,39.0,183.0,143.0,63.0,271.0,20.0,682.0,163.0,81.0,79.0,121.0,122.0,10.0,1.0,43.0,34.0,7.0,2.0
轨迹一里程数,23823.94200000001,76763.99300000002,2333.517,13252.598999999993,8761.041,4069.212000000001,17546.658999999996,1241.9329999999995,44932.44600000004,9819.892000000007,4737.883999999999,4492.307999999999,7674.957999999999,6859.289000000001,521.868,79.788,2599.419,2288.8240000000005,437.089,124.213
轨迹二里程数,25523.669000000013,80595.12400000001,2489.637,14100.25000000001,9103.872999999994,4347.462999999998,18305.80300000001,1354.21,48738.17800000001,10318.446999999998,5021.918999999998,4708.581,7959.019000000002,7291.922999999997,526.959,85.851,2665.8120000000004,2527.612,450.84,128.289
轨迹一用电量,595.5985500000003,1919.0998250000005,58.337925,331.31497499999983,219.026025,101.73030000000003,438.66647499999993,31.04832499999999,1123.3111500000011,245.4973000000002,118.44709999999998,112.30769999999998,191.87394999999998,171.48222500000003,13.046700000000001,1.9947,64.985475,57.22060000000002,10.927225,3.105325
轨迹二用电量,638.0917250000003,2014.8781000000004,62.240925000000004,352.50625000000025,227.59682499999985,108.68657499999995,457.6450750000003,33.855250000000005,1218.4544500000002,257.96117499999997,125.54797499999995,117.71452500000001,198.97547500000007,182.29807499999993,13.173974999999999,2.146275,66.6453,63.19030000000001,11.271,3.2072249999999998
轨迹一碳排放量,593.8117543500003,1913.3425255250006,58.162911225,330.32103007499984,218.36894692500002,101.42510910000003,437.35047557499996,30.955180024999994,1119.9412165500012,244.7608081000002,118.09175869999999,111.97077689999999,191.29832814999997,170.96777832500004,13.007559900000002,1.9887159,64.79051857500001,57.048938200000016,10.894443325000001,3.0960090250000003
轨迹二碳排放量,636.1774498250004,2008.8334657000005,62.05420222500001,351.44873125000026,226.9140345249999,108.36051527499995,456.2721397750003,33.753684250000006,1214.7990866500004,257.187291475,125.17133107499997,117.36138142500002,198.37854857500008,181.75118077499994,13.134453075,2.139836175,66.44536410000002,63.00072910000001,11.237187,3.197603325
柜子覆盖度,0.568260642,0.563784355,0.552695483,0.587603834,0.524166667,0.596720099,0.535855004,0.62655087,0.614117647,0.547033285,0.54429573,0.538454462,0.523274854,0.56244886,0.491463415,0.631546,0.520043337,0.678936125,0.571172325,0.54469712
