,苏锡[宇谷],泉州[宇谷],杭州[宇谷],广佛[宇谷],上海[宇谷],郑州[宇谷],金华[宇谷],西安[宇谷],济南[宇谷],北京[宇谷],长沙[宇谷],成都[宇谷],深圳[宇谷],福州[宇谷],武汉[宇谷],合肥[宇谷],九江[宇谷],东莞[宇谷],南昌[宇谷]
采样用户数,370.0,69.0,987.0,123.0,167.0,63.0,280.0,43.0,71.0,136.0,56.0,571.0,198.0,140.0,163.0,78.0,10.0,57.0,6.0
轨迹一里程数,25514.26000000001,4296.211999999999,63315.58000000002,7956.030999999999,12094.993,4350.250000000001,19429.459999999995,2865.6790000000005,4668.957999999999,9965.087,3492.042,39775.12000000002,11839.988,8472.321,10259.642000000003,4913.696999999998,598.803,3803.767999999999,439.91100000000006
轨迹二里程数,27029.91,4435.398999999999,66782.92600000004,8340.680999999999,12861.869999999995,4647.551,20289.264999999992,3055.437999999999,4975.774999999998,10921.546999999997,3639.016000000001,43322.627999999975,12490.651999999996,8821.199000000004,10644.97,5197.421999999999,609.1,4000.004,454.16
轨迹一用电量,637.8565000000003,107.40529999999997,1582.8895000000007,198.90077499999998,302.37482500000004,108.75625000000002,485.7364999999999,71.64197500000002,116.72394999999997,249.127175,87.30105,994.3780000000005,295.9997,211.80802500000001,256.4910500000001,122.84242499999996,14.970075000000001,95.09419999999999,10.997775000000003
轨迹二用电量,675.74775,110.884975,1669.573150000001,208.517025,321.5467499999999,116.18877500000002,507.23162499999984,76.38594999999998,124.39437499999995,273.03867499999996,90.97540000000004,1083.0656999999994,312.26629999999994,220.52997500000012,266.12425,129.93554999999998,15.227500000000001,100.0001,11.354000000000001
轨迹一碳排放量,635.9429305000003,107.08308409999998,1578.1408315000008,198.304072675,301.46770052500005,108.42998125000004,484.27929049999995,71.42704907500003,116.37377814999998,248.379793475,87.03914685000001,991.3948660000005,295.1117009,211.172600925,255.7215768500001,122.47389772499997,14.925164775,94.80891739999998,10.964781675000003
轨迹二碳排放量,673.72050675,110.552320075,1664.5644305500011,207.89147392499999,320.5821097499999,115.84020867500003,505.70993012499986,76.15679214999999,124.02119187499996,272.2195589749999,90.70247380000004,1079.8165028999995,311.32950109999996,219.86838507500013,265.32587725,129.54574334999998,15.181817500000003,99.70009970000001,11.319938000000002
柜子覆盖度,0.568260642,0.520043337,0.563784355,0.552695483,0.587603834,0.596720099,0.535855004,0.62655087,0.54429573,0.678936125,0.538454462,0.614117647,0.547033285,0.524166667,0.523274854,0.56244886,0.491463415,0.571172325,0.54469712
