,苏锡[宇谷],泉州[宇谷],杭州[宇谷],广佛[宇谷],上海[宇谷],郑州[宇谷],金华[宇谷],西安[宇谷],济南[宇谷],北京[宇谷],长沙[宇谷],成都[宇谷],深圳[宇谷],福州[宇谷],武汉[宇谷],合肥[宇谷],九江[宇谷],东莞[宇谷],南昌[宇谷]
采样用户数,1158.0,216.0,3043.0,403.0,512.0,191.0,771.0,124.0,214.0,439.0,180.0,1782.0,600.0,425.0,488.0,252.0,29.0,182.0,11.0
轨迹一里程数,79020.21200000003,14449.106000000009,197183.347,26542.848,37697.766,13497.230000000003,53231.10799999999,8435.747000000001,14195.809999999992,33178.48799999998,10845.967,124033.66899999986,36434.002000000015,26219.773999999983,30243.630999999998,16362.114000000003,1867.398,12024.086000000005,880.7710000000002
轨迹二里程数,83810.34399999998,14961.630000000005,207901.94900000017,27842.952999999987,39955.464,14437.136,55498.45999999997,9003.623000000003,15059.229999999998,36389.793000000005,11356.660999999996,135059.7890000001,38500.613000000005,27358.693,31405.618,17288.654000000006,1908.354,12608.024999999996,909.26
轨迹一用电量,1975.5053000000007,361.22765000000027,4929.583675000001,663.5712000000001,942.4441500000001,337.4307500000001,1330.7776999999999,210.89367500000003,354.8952499999998,829.4621999999996,271.149175,3100.8417249999966,910.8500500000005,655.4943499999996,756.090775,409.0528500000001,46.68495,300.6021500000001,22.019275000000007
轨迹二用电量,2095.2585999999997,374.0407500000001,5197.548725000004,696.0738249999997,998.8866,360.9284,1387.4614999999994,225.0905750000001,376.48074999999994,909.7448250000002,283.9165249999999,3376.4947250000027,962.5153250000002,683.9673250000001,785.14045,432.21635000000015,47.708850000000005,315.20062499999995,22.7315
轨迹一碳排放量,1969.578784100001,360.14396705000024,4914.7949239750005,661.5804864000002,939.6168175500002,336.41845775000013,1326.7853668999999,210.26099397500005,353.83056424999984,826.9738133999997,270.33572747500006,3091.539199824997,908.1174998500005,653.5278669499996,753.822502675,407.82569145000014,46.54489515,299.7003435500001,21.953217175000006
轨迹二碳排放量,2088.9728241999996,372.91862775000016,5181.956078825005,693.9856035249998,995.8899402000001,359.8456148000001,1383.2991154999995,224.4153032750001,375.35130775,907.0155905250002,283.06477542499994,3366.365240825003,959.6277790250002,681.9154230250001,782.7850286500001,430.9197009500002,47.56572345000001,314.2550231249999,22.663305500000003
柜子覆盖度,0.568260642,0.520043337,0.563784355,0.552695483,0.587603834,0.596720099,0.535855004,0.62655087,0.54429573,0.678936125,0.538454462,0.614117647,0.547033285,0.524166667,0.523274854,0.56244886,0.491463415,0.571172325,0.54469712
