,苏锡[宇谷],杭州[宇谷],上海[宇谷],西安[宇谷],郑州[宇谷],济南[宇谷],金华[宇谷],成都[宇谷],长沙[宇谷],东莞[宇谷],福州[宇谷],深圳[宇谷],合肥[宇谷],广佛[宇谷],武汉[宇谷],泉州[宇谷],惠州[宇谷],九江[宇谷],北京[宇谷],南昌[宇谷]
采样用户数,273.0,897.0,82.0,36.0,38.0,56.0,205.0,548.0,51.0,25.0,114.0,178.0,71.0,72.0,114.0,59.0,1.0,7.0,69.0,1.0
轨迹一里程数,19040.244,59326.35000000002,5490.124999999999,2828.802,2837.262,3877.124,14223.706000000004,41179.46800000001,3225.7960000000003,1718.6150000000005,7185.852000000003,12084.683999999992,5102.3150000000005,4846.571,7408.735,3773.7639999999983,104.42,404.575,5065.792999999998,76.807
轨迹二里程数,20347.074,62776.94500000004,5860.520999999999,3100.1250000000005,2994.936,4136.717,14937.539999999995,45190.41000000001,3369.768,1860.377,7422.431000000002,12857.44799999999,5534.800000000003,5099.095000000001,7699.987000000003,3933.092,112.186,418.056,5567.979999999999,76.807
轨迹一用电量,476.0061,1483.1587500000005,137.25312499999998,70.72005,70.93155,96.9281,355.5926500000001,1029.4867000000002,80.6449,42.965375000000016,179.64630000000008,302.1170999999998,127.55787500000002,121.164275,185.218375,94.34409999999997,2.6105,10.114375,126.64482499999995,1.9201750000000002
轨迹二用电量,508.67685000000006,1569.4236250000013,146.51302499999997,77.50312500000001,74.8734,103.417925,373.4384999999999,1129.7602500000003,84.2442,46.509425,185.56077500000006,321.43619999999976,138.3700000000001,127.47737500000004,192.49967500000008,98.32730000000001,2.8046500000000005,10.4514,139.19949999999997,1.9201750000000002
轨迹一碳排放量,474.57808170000004,1478.7092737500006,136.84136562499998,70.50788985000001,70.71875535000001,96.6373157,354.52587205000015,1026.3982399000004,80.40296530000002,42.83647887500002,179.10736110000008,301.21074869999984,127.17520137500003,120.80078217500001,184.66271987500002,94.06106769999997,2.6026685000000005,10.084031875,126.26489052499996,1.9144144750000003
轨迹二碳排放量,507.1508194500001,1564.7153541250013,146.073485925,77.27061562500002,74.64877980000001,103.107671225,372.3181844999999,1126.3709692500004,83.9914674,46.369896725000004,185.00409267500007,320.4718913999998,137.9548900000001,127.09494287500004,191.9221759750001,98.03231810000001,2.7962360500000005,10.4200458,138.78190149999998,1.9144144750000003
柜子覆盖度,0.568260642,0.563784355,0.587603834,0.62655087,0.596720099,0.54429573,0.535855004,0.614117647,0.538454462,0.571172325,0.524166667,0.547033285,0.56244886,0.552695483,0.523274854,0.520043337,0.631546,0.491463415,0.678936125,0.54469712
