,苏锡[宇谷],杭州[宇谷],郑州[宇谷],广佛[宇谷],上海[宇谷],福州[宇谷],金华[宇谷],北京[宇谷],济南[宇谷],成都[宇谷],深圳[宇谷],武汉[宇谷],长沙[宇谷],合肥[宇谷],九江[宇谷],西安[宇谷],泉州[宇谷],东莞[宇谷],南昌[宇谷]
采样用户数,629.0,1947.0,100.0,188.0,298.0,225.0,473.0,171.0,124.0,1195.0,339.0,256.0,117.0,167.0,14.0,91.0,128.0,58.0,6.0
轨迹一里程数,43191.48300000001,126822.246,6478.027000000004,12784.391999999996,21220.331,13518.054000000002,32681.789000000004,12461.346999999998,8418.531,80016.45800000003,20805.72399999999,16385.462999999996,7070.331000000002,10554.570999999996,814.062,6395.679999999999,8285.192999999996,4504.813,456.4500000000001
轨迹二里程数,45800.562,133898.17899999992,6961.779999999998,13416.872000000008,22487.625000000004,14055.793999999998,34168.54899999997,13684.157,8941.470999999996,87653.70700000018,21825.34800000001,17081.199000000008,7407.616000000001,11276.209999999995,852.1270000000001,6964.995999999997,8582.860999999999,4736.020000000002,488.324
轨迹一用电量,1079.7870750000002,3170.5561500000003,161.9506750000001,319.60979999999995,530.508275,337.95135000000005,817.0447250000002,311.53367499999996,210.46327500000004,2000.4114500000007,520.1430999999998,409.63657499999994,176.75827500000005,263.8642749999999,20.351550000000003,159.892,207.1298249999999,112.62032500000001,11.411250000000003
轨迹二用电量,1145.01405,3347.454474999998,174.04449999999997,335.42180000000025,562.1906250000001,351.39484999999996,854.2137249999993,342.103925,223.53677499999992,2191.342675000005,545.6337000000002,427.0299750000002,185.19040000000004,281.9052499999999,21.303175000000003,174.12489999999994,214.57152499999998,118.40050000000006,12.208100000000002
轨迹一碳排放量,1076.5477137750004,3161.0444815500005,161.46482297500012,318.65097059999994,528.9167501750001,336.9374959500001,814.5935908250002,310.599073975,209.83188517500005,1994.410215650001,518.5826706999999,408.40766527499994,176.22800017500006,263.07268217499995,20.290495350000004,159.412324,206.50843552499992,112.28246402500001,11.377016250000004
轨迹二碳排放量,1141.5790078500002,3337.412111574998,173.52236649999998,334.4155346000002,560.5040531250002,350.34066545,851.6510838249993,341.077613225,222.86616467499994,2184.7686469750047,543.9967989000003,425.74888507500026,184.63482880000004,281.0595342499999,21.239265475000003,173.60252529999994,213.927810425,118.04529850000007,12.171475700000002
柜子覆盖度,0.568260642,0.563784355,0.596720099,0.552695483,0.587603834,0.524166667,0.535855004,0.678936125,0.54429573,0.614117647,0.547033285,0.523274854,0.538454462,0.56244886,0.491463415,0.62655087,0.520043337,0.571172325,0.54469712
