,杭州[宇谷],苏锡[宇谷],郑州[宇谷],上海[宇谷],金华[宇谷],成都[宇谷],济南[宇谷],泉州[宇谷],深圳[宇谷],长沙[宇谷],广佛[宇谷],武汉[宇谷],福州[宇谷],合肥[宇谷],北京[宇谷],惠州[宇谷],西安[宇谷],九江[宇谷],东莞[宇谷],南昌[宇谷]
采样用户数,792.0,223.0,42.0,70.0,198.0,423.0,44.0,45.0,102.0,40.0,62.0,83.0,86.0,58.0,53.0,2.0,31.0,9.0,13.0,2.0
轨迹一里程数,49308.68100000001,15391.438,3185.273,5511.933,13728.759,27849.329000000005,3323.258,3016.62,6452.813000000002,2418.0980000000004,4060.4200000000014,5337.010000000002,5568.616000000003,3713.844000000001,3582.035999999999,171.784,2335.092,600.675,962.297,133.15699999999998
轨迹二里程数,51968.51600000003,16504.953000000005,3369.3109999999992,6031.956999999999,14367.365000000009,29896.094999999983,3618.0660000000007,3158.079,6742.912000000003,2519.0070000000005,4204.78,5552.863000000003,5763.719000000001,4011.886000000001,3961.506,177.577,2603.552,619.987,1030.612,136.172
轨迹一用电量,1232.7170250000004,384.78595,79.631825,137.798325,343.218975,696.2332250000002,83.08145,75.4155,161.32032500000005,60.45245000000001,101.51050000000004,133.42525000000006,139.21540000000007,92.84610000000004,89.55089999999998,4.2946,58.377300000000005,15.016874999999999,24.057425000000002,3.328925
轨迹二用电量,1299.212900000001,412.6238250000001,84.23277499999999,150.798925,359.1841250000002,747.4023749999997,90.45165000000003,78.951975,168.5728000000001,62.975175000000014,105.1195,138.82157500000008,144.09297500000002,100.29715000000003,99.03765,4.439425,65.0888,15.499675,25.765300000000003,3.4043
轨迹一碳排放量,1229.0188739250004,383.63159215,79.39292952500001,137.38493002500002,342.189318075,694.1445253250002,82.83220565,75.1892535,160.83636402500005,60.271092650000014,101.20596850000004,133.02497425000007,138.7977538000001,92.56756170000003,89.2822473,4.2817162,58.20216810000001,14.971824375,23.985252725000002,3.318938225
轨迹二碳排放量,1295.3152613000009,411.38595352500016,83.98007667499999,150.34652822500001,358.10657262500024,745.1601678749996,90.18029505000003,78.71511907500002,168.06708160000008,62.78624947500002,104.8041415,138.40511027500008,143.66069607500003,99.99625855000004,98.74053705,4.426106725,64.89353360000001,15.453175975,25.688004100000004,3.3940871
柜子覆盖度,0.563784355,0.568260642,0.596720099,0.587603834,0.535855004,0.614117647,0.54429573,0.520043337,0.547033285,0.538454462,0.552695483,0.523274854,0.524166667,0.56244886,0.678936125,0.631546,0.62655087,0.491463415,0.571172325,0.54469712
