,苏锡[宇谷],杭州[宇谷],广佛[宇谷],上海[宇谷],福州[宇谷],郑州[宇谷],金华[宇谷],西安[宇谷],成都[宇谷],深圳[宇谷],济南[宇谷],长沙[宇谷],武汉[宇谷],合肥[宇谷],九江[宇谷],惠州[宇谷],泉州[宇谷],北京[宇谷],东莞[宇谷],南昌[宇谷]
采样用户数,741.0,2565.0,85.0,379.0,279.0,129.0,519.0,39.0,1398.0,350.0,143.0,153.0,247.0,234.0,22.0,1.0,94.0,66.0,11.0,5.0
轨迹一里程数,47194.12000000002,159152.2919999993,5186.017999999998,27640.282999999992,17131.97500000001,8249.895999999999,34189.626999999986,2574.71,92561.46099999984,21957.203000000016,8787.998000000001,8672.237999999998,14951.398999999994,13570.775999999994,1063.225,79.788,5521.249,4382.642000000001,688.029,271.404
轨迹二里程数,50437.57300000004,167354.26399999965,5474.526000000002,29232.934000000016,17844.02799999999,8845.939999999999,35721.47599999999,2850.1770000000006,100522.48799999994,23242.218999999997,9266.109,9039.773,15514.078999999994,14428.669999999998,1079.792,85.851,5692.861999999998,4742.088000000002,717.2479999999999,282.727
轨迹一用电量,1179.8530000000005,3978.807299999982,129.65044999999995,691.0070749999999,428.2993750000003,206.24739999999997,854.7406749999997,64.36775,2314.036524999996,548.9300750000004,219.69995000000006,216.80594999999994,373.78497499999986,339.2693999999999,26.580624999999998,1.9947,138.031225,109.56605000000002,17.200725000000002,6.7851
轨迹二用电量,1260.9393250000012,4183.856599999991,136.86315000000005,730.8233500000005,446.1006999999998,221.14849999999998,893.0368999999997,71.25442500000001,2513.0621999999985,581.055475,231.65272500000003,225.994325,387.85197499999987,360.71675,26.994799999999998,2.146275,142.32154999999997,118.55220000000004,17.9312,7.068175
轨迹一碳排放量,1176.3134410000005,3966.8708780999827,129.26149864999996,688.9340537749998,427.0144768750003,205.62865779999998,852.1764529749997,64.17464675000001,2307.094415424996,547.2832847750004,219.04085015000007,216.15553214999997,372.66362007499987,338.2515917999999,26.500883125,1.9887159,137.617131325,109.23735185000002,17.149122825000003,6.7647447000000005
轨迹二碳排放量,1257.1565070250012,4171.305030199992,136.45256055000004,728.6308799500005,444.7623978999998,220.4850545,890.3577892999998,71.04066172500002,2505.523013399999,579.312308575,230.95776682500002,225.316342025,386.6884190749999,359.63459975,26.9138156,2.139836175,141.89458534999997,118.19654340000005,17.8774064,7.046970475
柜子覆盖度,0.568260642,0.563784355,0.552695483,0.587603834,0.524166667,0.596720099,0.535855004,0.62655087,0.614117647,0.547033285,0.54429573,0.538454462,0.523274854,0.56244886,0.491463415,0.631546,0.520043337,0.678936125,0.571172325,0.54469712
