,苏锡[宇谷],杭州[宇谷],郑州[宇谷],成都[宇谷],金华[宇谷],西安[宇谷],长沙[宇谷],上海[宇谷],福州[宇谷],深圳[宇谷],合肥[宇谷],广佛[宇谷],济南[宇谷],北京[宇谷],武汉[宇谷],九江[宇谷],泉州[宇谷],南昌[宇谷],东莞[宇谷]
采样用户数,789.0,2968.0,172.0,1547.0,609.0,72.0,186.0,105.0,370.0,421.0,246.0,154.0,202.0,123.0,277.0,17.0,22.0,5.0,32.0
轨迹一里程数,52495.14800000006,187539.2559999997,11318.679999999997,101690.35599999996,41368.22299999999,4970.859,10795.169,8313.832999999995,22202.606999999996,25367.220999999983,15069.056999999995,10625.399,12637.606999999996,8131.757,17491.452000000005,1067.029,1243.155,425.789,2246.476
轨迹二里程数,56066.93000000001,197454.2240000001,12144.420000000004,109153.32500000008,43407.32099999997,5550.964,11315.873000000003,8872.360999999999,23205.99199999999,26494.458,15876.970000000005,11191.536,13399.854999999996,8947.839000000002,18111.91899999999,1093.2659999999998,1274.83,447.49,2355.306
轨迹一用电量,1312.3787000000016,4688.481399999992,282.9669999999999,2542.258899999999,1034.2055749999997,124.27147500000001,269.879225,207.84582499999988,555.065175,634.1805249999996,376.7264249999999,265.634975,315.94017499999995,203.293925,437.28630000000015,26.675725,31.078875,10.644725000000001,56.1619
轨迹二用电量,1401.6732500000003,4936.355600000003,303.6105000000001,2728.8331250000024,1085.1830249999991,138.7741,282.8968250000001,221.809025,580.1497999999998,662.36145,396.92425000000014,279.7884,334.99637499999994,223.69597500000006,452.7979749999998,27.331649999999996,31.87075,11.18725,58.882650000000005
轨迹一碳排放量,1308.4415639000017,4674.415955799993,282.118099,2534.632123299999,1031.102958275,123.89866057500002,269.06958732500004,207.2222875249999,553.399979475,632.2779834249997,375.5962457249999,264.838070075,314.99235447499996,202.684043225,435.97444110000015,26.595697825000002,30.985638375000004,10.612790825000001,55.99341430000001
轨迹二碳排放量,1397.4682302500003,4921.546533200003,302.69966850000014,2720.6466256250023,1081.9274759249993,138.3577777,282.04813452500014,221.143597925,578.4093505999998,660.3743656500001,395.73347725000013,278.94903480000005,333.99138587499993,223.02488707500007,451.4395810749998,27.249655049999998,31.775137750000003,11.153688250000002,58.70600205000001
柜子覆盖度,0.568260642,0.563784355,0.596720099,0.614117647,0.535855004,0.62655087,0.538454462,0.587603834,0.524166667,0.547033285,0.56244886,0.552695483,0.54429573,0.678936125,0.523274854,0.491463415,0.520043337,0.54469712,0.571172325
