,苏锡[宇谷],杭州[宇谷],广佛[宇谷],上海[宇谷],福州[宇谷],郑州[宇谷],金华[宇谷],西安[宇谷],成都[宇谷],深圳[宇谷],济南[宇谷],长沙[宇谷],武汉[宇谷],合肥[宇谷],九江[宇谷],惠州[宇谷],泉州[宇谷],北京[宇谷],东莞[宇谷],南昌[宇谷]
采样用户数,181.0,593.0,20.0,83.0,66.0,39.0,130.0,9.0,341.0,80.0,39.0,39.0,65.0,62.0,7.0,1.0,26.0,17.0,4.0,1.0
轨迹一里程数,11490.997999999996,36454.076000000045,1178.812,6243.037,4009.7670000000007,2514.6960000000004,8500.652000000004,535.573,22294.062,4786.231,2147.817,2135.454,4143.538,3453.154,342.955,79.788,1540.1609999999998,1227.488,283.439,55.713
轨迹二里程数,12318.242999999997,38259.94200000001,1225.86,6623.849000000001,4152.833,2709.612,8850.27,589.4490000000001,24258.81900000001,5038.634999999998,2280.498,2232.208,4281.984,3679.524999999999,344.174,85.851,1582.9450000000002,1394.5980000000002,295.997,58.562
轨迹一用电量,287.27494999999993,911.3519000000011,29.470299999999998,156.075925,100.24417500000003,62.86740000000001,212.51630000000011,13.389325,557.3515500000001,119.655775,53.695425,53.38635000000001,103.58845,86.32885,8.573875,1.9947,38.504025,30.687200000000004,7.085975000000001,1.3928250000000002
轨迹二用电量,307.95607499999994,956.4985500000003,30.6465,165.59622500000003,103.820825,67.7403,221.25675,14.736225000000003,606.4704750000003,125.96587499999997,57.01245,55.805200000000006,107.04960000000001,91.98812499999998,8.60435,2.146275,39.57362500000001,34.86495000000001,7.3999250000000005,1.46405
轨迹一碳排放量,286.4131251499999,908.6178443000013,29.381889100000002,155.607697225,99.94344247500003,62.67879780000002,211.8787511000001,13.349157025,555.6794953500001,119.29680767500001,53.534338725000005,53.22619095000001,103.27768465,86.06986345000001,8.548153375,1.9887159,38.388512925,30.595138400000003,7.064717075000002,1.3886465250000002
轨迹二碳排放量,307.03220677499996,953.6290543500004,30.5545605,165.09943632500006,103.509362525,67.53707910000001,220.59297975000004,14.692016325000003,604.6510635750003,125.58797737499998,56.84141265000001,55.63778440000001,106.72845120000002,91.712160625,8.57853695,2.139836175,39.454904125000006,34.76035515000001,7.377725225000001,1.4596578500000001
柜子覆盖度,0.568260642,0.563784355,0.552695483,0.587603834,0.524166667,0.596720099,0.535855004,0.62655087,0.614117647,0.547033285,0.54429573,0.538454462,0.523274854,0.56244886,0.491463415,0.631546,0.520043337,0.678936125,0.571172325,0.54469712
