,苏锡[宇谷],杭州[宇谷],广佛[宇谷],上海[宇谷],福州[宇谷],郑州[宇谷],金华[宇谷],西安[宇谷],成都[宇谷],深圳[宇谷],济南[宇谷],长沙[宇谷],武汉[宇谷],合肥[宇谷],九江[宇谷],惠州[宇谷],泉州[宇谷],北京[宇谷],东莞[宇谷],南昌[宇谷]
采样用户数,552.0,1906.0,62.0,281.0,207.0,97.0,390.0,30.0,1037.0,259.0,113.0,110.0,174.0,176.0,14.0,1.0,68.0,46.0,9.0,3.0
轨迹一里程数,35103.68200000002,117503.52399999982,3673.139999999999,20550.364999999994,12777.112000000005,6117.172999999999,25217.087,1896.096,67812.002,16048.140000000014,6810.126999999999,6316.518,10735.38599999999,9970.418,715.029,79.788,4068.496000000001,3171.8830000000003,580.326,157.969
轨迹二里程数,37523.756000000045,123565.82699999986,3878.814999999999,21786.02400000001,13296.937999999998,6569.506999999997,26319.948000000008,2083.46,73730.50000000007,16981.53099999999,7195.785999999999,6606.145999999999,11114.884,10576.574,726.477,85.851,4170.887,3469.577,601.1129999999999,163.265
轨迹一用电量,877.5920500000007,2937.5880999999954,91.82849999999998,513.7591249999999,319.42780000000016,152.92932499999998,630.427175,47.4024,1695.3000499999998,401.20350000000036,170.25317499999997,157.91295000000002,268.38464999999974,249.26045,17.875725,1.9947,101.71240000000003,79.297075,14.50815,3.949225
轨迹二用电量,938.0939000000012,3089.1456749999966,96.97037499999999,544.6506000000003,332.42345,164.23767499999994,657.9987000000002,52.0865,1843.2625000000019,424.5382749999998,179.89464999999998,165.15364999999997,277.8721,264.41435,18.161925,2.146275,104.272175,86.73942500000001,15.027825,4.081625
轨迹一碳排放量,874.9592738500006,2928.7753356999956,91.55301449999999,512.2178476249999,318.46951660000013,152.470537025,628.5358934750001,47.260192800000006,1690.21414985,399.9998895000004,169.74241547499997,157.43921115,267.57949604999976,248.51266865000002,17.822097825,1.9887159,101.40726280000004,79.05918377500001,14.464625550000003,3.9373773250000004
轨迹二碳排放量,935.2796183000012,3079.878237974997,96.679463875,543.0166482000003,331.42617965,163.74496197499994,656.0247039000003,51.930240500000004,1837.732712500002,423.26466017499985,179.35496605,164.65818904999998,277.03848370000003,263.62110695000007,18.107439225,2.139836175,103.959358475,86.47920672500001,14.982741525,4.069380125
柜子覆盖度,0.568260642,0.563784355,0.552695483,0.587603834,0.524166667,0.596720099,0.535855004,0.62655087,0.614117647,0.547033285,0.54429573,0.538454462,0.523274854,0.56244886,0.491463415,0.631546,0.520043337,0.678936125,0.571172325,0.54469712
