,苏锡[宇谷],杭州[宇谷],上海[宇谷],西安[宇谷],郑州[宇谷],济南[宇谷],金华[宇谷],成都[宇谷],长沙[宇谷],东莞[宇谷],福州[宇谷],深圳[宇谷],合肥[宇谷],广佛[宇谷],武汉[宇谷],泉州[宇谷],惠州[宇谷],九江[宇谷],北京[宇谷],南昌[宇谷]
采样用户数,1063.0,3261.0,399.0,125.0,163.0,238.0,789.0,2006.0,187.0,90.0,381.0,639.0,246.0,277.0,455.0,218.0,2.0,26.0,316.0,6.0
轨迹一里程数,73146.36900000005,210310.69500000065,28219.031000000017,8710.063,11551.598,16847.87799999999,52585.88800000001,141118.61699999994,11236.360000000004,6174.472000000001,22761.991,41702.42799999996,16217.172,17957.09,29543.268999999986,13703.332999999991,183.168,1336.2420000000002,22607.890000000007,386.341
轨迹二里程数,77835.10000000006,222355.18600000037,30022.068999999985,9458.406,12298.574000000004,17808.045999999995,55002.815,153632.87500000003,11797.008000000009,6563.481000000002,23609.51100000001,44095.81299999995,17456.533000000007,18896.983,30704.53400000001,14303.170000000002,194.455,1366.17,24660.03899999999,401.751
轨迹一用电量,1828.6592250000012,5257.767375000017,705.4757750000005,217.751575,288.78995000000003,421.1969499999998,1314.6472000000003,3527.9654249999985,280.9090000000001,154.36180000000002,569.0497750000001,1042.560699999999,405.4293,448.92725,738.5817249999997,342.58332499999983,4.5792,33.40605000000001,565.1972500000002,9.658525000000001
轨迹二用电量,1945.8775000000016,5558.87965000001,750.5517249999997,236.46015000000003,307.46435000000014,445.20114999999987,1375.0703750000002,3840.821875000001,294.92520000000025,164.08702500000004,590.2377750000003,1102.3953249999988,436.4133250000002,472.424575,767.6133500000003,357.57925000000006,4.861375000000001,34.154250000000005,616.5009749999998,10.043775
轨迹一碳排放量,1823.1732473250015,5241.994072875017,703.3593476750005,217.09832027500002,287.92358015,419.9333591499998,1310.7032584000005,3517.381528724999,280.06627300000014,153.89871460000003,567.3426256750001,1039.4330178999992,404.21301210000007,447.58046825,736.3659798249997,341.5555750249998,4.5654624,33.30583185000001,563.5016582500002,9.629549425
轨迹二碳排放量,1940.0398675000017,5542.20301105001,748.3000698249997,235.75076955000006,306.54195695000016,443.8655465499999,1370.9451638750002,3829.2994093750012,294.04042440000023,163.59476392500005,588.4670616750003,1099.088139024999,435.1040850250002,471.00730127500003,765.3105099500003,356.50651225000007,4.846790875000001,34.051787250000004,614.6514720749998,10.013643675
柜子覆盖度,0.568260642,0.563784355,0.587603834,0.62655087,0.596720099,0.54429573,0.535855004,0.614117647,0.538454462,0.571172325,0.524166667,0.547033285,0.56244886,0.552695483,0.523274854,0.520043337,0.631546,0.491463415,0.678936125,0.54469712
