,苏锡[宇谷],泉州[宇谷],杭州[宇谷],广佛[宇谷],上海[宇谷],郑州[宇谷],金华[宇谷],西安[宇谷],济南[宇谷],北京[宇谷],长沙[宇谷],成都[宇谷],深圳[宇谷],福州[宇谷],武汉[宇谷],合肥[宇谷],九江[宇谷],东莞[宇谷],南昌[宇谷],惠州[宇谷]
采样用户数,1957.0,357.0,5227.0,694.0,877.0,321.0,1268.0,208.0,373.0,730.0,305.0,3155.0,1015.0,744.0,848.0,438.0,49.0,297.0,22.0,1.0
轨迹一里程数,136337.986,23893.16399999999,344147.0050000012,46129.133,66608.67400000003,23016.521000000008,89086.0710000001,14158.633000000009,25375.214,55489.951999999954,19157.313999999995,225828.51299999945,63165.00400000004,46892.75899999994,53940.884000000005,29582.88200000001,3131.121,20205.24300000001,1789.7450000000006,49.214
轨迹二里程数,144902.82299999983,24802.517000000007,364013.543000001,48427.01800000005,70545.705,24607.812999999995,92825.97600000002,15118.994999999995,26998.359000000008,60794.12499999997,20127.324999999983,245673.73399999997,66514.65999999999,48866.62300000002,56178.516000000025,31260.055000000004,3217.252000000001,21229.609999999982,1849.568,49.214
轨迹一用电量,3408.4496500000005,597.3290999999998,8603.67512500003,1153.228325,1665.2168500000007,575.4130250000002,2227.1517750000025,353.9658250000002,634.38035,1387.248799999999,478.9328499999999,5645.712824999987,1579.125100000001,1172.3189749999985,1348.5221000000001,739.5720500000002,78.27802500000001,505.13107500000024,44.743625000000016,1.23035
轨迹二用电量,3622.570574999996,620.0629250000002,9100.338575000025,1210.6754500000013,1763.6426250000002,615.1953249999999,2320.6494000000007,377.9748749999999,674.9589750000002,1519.8531249999994,503.18312499999956,6141.843349999999,1662.8664999999999,1221.6655750000007,1404.4629000000007,781.5013750000002,80.43130000000002,530.7402499999996,46.239200000000004,1.23035
轨迹一碳排放量,3398.2243010500006,595.5371126999999,8577.864099625032,1149.7686400250002,1660.221199450001,573.6867859250002,2220.470319675003,352.90392752500026,632.4772089500001,1383.087053599999,477.4960514499999,5628.775686524987,1574.3877247000012,1168.8020180749986,1344.4765337000003,737.3533338500004,78.043190925,503.61568177500027,44.609394125000016,1.22665895
轨迹二碳排放量,3611.702863274996,618.2027362250002,9073.037559275026,1207.0434236500014,1758.3516971250003,613.349739025,2313.687451800001,376.8409503749999,672.9340980750003,1515.2935656249995,501.6735756249996,6123.41781995,1657.8779005,1218.0005782750006,1400.2495113000007,779.1568708750002,80.19000610000003,529.1480292499996,46.100482400000004,1.22665895
柜子覆盖度,0.568260642,0.520043337,0.563784355,0.552695483,0.587603834,0.596720099,0.535855004,0.62655087,0.54429573,0.678936125,0.538454462,0.614117647,0.547033285,0.524166667,0.523274854,0.56244886,0.491463415,0.571172325,0.54469712,0.631546
