,苏锡[宇谷],杭州[宇谷],郑州[宇谷],成都[宇谷],金华[宇谷],西安[宇谷],长沙[宇谷],上海[宇谷],福州[宇谷],深圳[宇谷],合肥[宇谷],广佛[宇谷],济南[宇谷],北京[宇谷],武汉[宇谷],九江[宇谷],泉州[宇谷],南昌[宇谷],东莞[宇谷],惠州[宇谷]
采样用户数,975.0,3671.0,207.0,1928.0,763.0,93.0,230.0,135.0,458.0,542.0,305.0,189.0,244.0,154.0,357.0,25.0,27.0,6.0,44.0,1.0
轨迹一里程数,64511.53400000007,232914.3499999998,13681.875999999998,126585.74999999988,51886.62299999999,6473.090999999999,13460.999999999998,10671.337,27636.554999999986,32509.038999999982,18872.77700000001,12747.306000000002,15321.198,10362.067000000005,22815.499999999985,1479.1880000000003,1560.36,496.635,3072.6940000000004,106.134
轨迹二里程数,68899.14900000006,245121.23000000065,14648.048000000008,135934.01900000006,54422.338,7171.379000000001,14112.980000000009,11410.779,28880.982999999986,34033.43600000001,19946.89900000001,13426.857999999998,16238.843999999996,11343.197000000004,23682.92899999997,1517.119,1602.488,523.9119999999999,3230.4159999999997,107.922
轨迹一用电量,1612.7883500000019,5822.858749999996,342.0469,3164.6437499999975,1297.165575,161.827275,336.525,266.783425,690.9138749999997,812.7259749999996,471.81942500000025,318.6826500000001,383.02995000000004,259.0516750000001,570.3874999999997,36.97970000000001,39.009,12.415875,76.81735000000002,2.65335
轨迹二用电量,1722.4787250000018,6128.030750000016,366.2012000000002,3398.3504750000016,1360.5584500000002,179.28447500000004,352.8245000000002,285.269475,722.0245749999997,850.8359000000003,498.67247500000025,335.67145,405.9710999999999,283.5799250000001,592.0732249999993,37.927974999999996,40.062200000000004,13.0978,80.7604,2.6980500000000003
轨迹一碳排放量,1607.949984950002,5805.3901737499955,341.0207593,3155.1498187499974,1293.274078275,161.341793175,335.515425,265.983074725,688.8411333749997,810.2877970749996,470.40396672500026,317.7266020500001,381.88086015000005,258.27451997500015,568.6763374999997,36.86876090000001,38.891973,12.378627375,76.58689795000002,2.64538995
轨迹二碳排放量,1717.3112888250018,6109.646657750017,365.10259640000027,3388.155423575002,1356.4767746500002,178.74662157500003,351.76602650000024,284.41366657500004,719.8585012749998,848.2833923000003,497.17645757500026,334.66443565,404.75318669999996,282.72918522500015,590.2970053249993,37.814191075000004,39.94201340000001,13.0585066,80.5181188,2.68995585
柜子覆盖度,0.568260642,0.563784355,0.596720099,0.614117647,0.535855004,0.62655087,0.538454462,0.587603834,0.524166667,0.547033285,0.56244886,0.552695483,0.54429573,0.678936125,0.523274854,0.491463415,0.520043337,0.54469712,0.571172325,0.631546
