,苏锡[宇谷],杭州[宇谷],郑州[宇谷],广佛[宇谷],上海[宇谷],福州[宇谷],金华[宇谷],北京[宇谷],济南[宇谷],成都[宇谷],深圳[宇谷],武汉[宇谷],长沙[宇谷],合肥[宇谷],九江[宇谷],西安[宇谷],泉州[宇谷],东莞[宇谷],南昌[宇谷]
采样用户数,312.0,959.0,50.0,98.0,147.0,101.0,238.0,80.0,67.0,568.0,175.0,121.0,55.0,80.0,8.0,50.0,64.0,31.0,2.0
轨迹一里程数,20951.76099999999,62734.32099999999,3152.012,6517.059999999999,10511.067999999994,6018.223,16251.646000000002,5964.0340000000015,4340.348999999998,38328.794000000016,10252.923,7672.251999999999,3264.199,5079.409999999999,487.716,3457.491999999999,4238.121000000001,2384.018,147.39
轨迹二里程数,22231.398,66262.23299999993,3393.003,6875.276999999999,11166.123999999996,6271.818999999998,16983.981,6533.31,4633.895,42422.01399999996,10795.624000000003,7990.308000000004,3390.928,5390.271,515.456,3755.204,4394.442000000002,2526.8040000000005,156.84199999999998
轨迹一用电量,523.7940249999998,1568.3580249999998,78.80030000000001,162.92649999999998,262.77669999999983,150.455575,406.2911500000001,149.10085000000004,108.50872499999997,958.2198500000004,256.323075,191.80629999999996,81.60497500000001,126.98524999999998,12.192900000000002,86.43729999999998,105.95302500000003,59.60045,3.6847499999999997
轨迹二用电量,555.7849500000001,1656.5558249999985,84.82507500000001,171.881925,279.15309999999994,156.79547499999995,424.599525,163.33275000000003,115.84737500000001,1060.550349999999,269.8906000000001,199.7577000000001,84.7732,134.756775,12.886400000000002,93.88010000000001,109.86105000000005,63.17010000000002,3.9210499999999997
轨迹一碳排放量,522.2226429249998,1563.652950925,78.56389910000001,162.43772049999998,261.9883698999999,150.00420827500002,405.0722765500001,148.65354745000005,108.18319882499998,955.3451904500005,255.55410577500004,191.23088109999998,81.36016007500001,126.60429424999998,12.156321300000002,86.17798809999998,105.63516592500004,59.42164865000001,3.6736957500000003
轨迹二碳排放量,554.11759515,1651.5861575249985,84.57059977500002,171.366279225,278.31564069999996,156.32508857499997,423.325726425,162.84275175000002,115.49983287500002,1057.368698949999,269.08092820000013,199.1584269000001,84.5188804,134.352504675,12.847740800000002,93.59845970000002,109.53146685000006,62.98058970000002,3.90928685
柜子覆盖度,0.568260642,0.563784355,0.596720099,0.552695483,0.587603834,0.524166667,0.535855004,0.678936125,0.54429573,0.614117647,0.547033285,0.523274854,0.538454462,0.56244886,0.491463415,0.62655087,0.520043337,0.571172325,0.54469712
