,杭州[宇谷],苏锡[宇谷],郑州[宇谷],上海[宇谷],金华[宇谷],成都[宇谷],济南[宇谷],泉州[宇谷],深圳[宇谷],长沙[宇谷],广佛[宇谷],武汉[宇谷],福州[宇谷],合肥[宇谷],北京[宇谷],惠州[宇谷],西安[宇谷],九江[宇谷],东莞[宇谷],南昌[宇谷]
采样用户数,3873.0,1158.0,191.0,389.0,941.0,2194.0,254.0,251.0,647.0,206.0,310.0,459.0,488.0,314.0,256.0,4.0,130.0,35.0,75.0,7.0
轨迹一里程数,247142.33599999995,78039.432,13745.283000000005,31471.414000000008,64725.37099999994,146816.87099999998,18438.441999999985,16337.766999999998,39991.29900000004,12205.772,20013.18799999999,29024.133,30157.746000000014,19604.706,18293.661000000004,323.621,9345.567,2095.965,5256.803999999999,454.857
轨迹二里程数,260939.91899999956,83494.52699999999,14505.535,34371.76900000002,67833.38900000004,157949.21500000035,19902.057,17048.41999999999,42414.71100000005,12773.042000000003,21096.559999999998,30201.851,31646.642999999985,21066.85799999998,20095.823000000008,329.414,10271.685000000009,2145.021,5634.138999999999,469.92
轨迹一用电量,6178.558399999999,1950.9858000000002,343.63207500000016,786.7853500000002,1618.1342749999985,3670.421775,460.96104999999966,408.444175,999.7824750000011,305.14430000000004,500.3296999999998,725.603325,753.9436500000004,490.11764999999997,457.3415250000001,8.090525,233.639175,52.399125000000005,131.4201,11.371425000000002
轨迹二用电量,6523.497974999989,2087.363175,362.638375,859.2942250000006,1695.834725000001,3948.7303750000087,497.55142500000005,426.2104999999998,1060.3677750000013,319.3260500000001,527.414,755.046275,791.1660749999996,526.6714499999995,502.39557500000024,8.23535,256.7921250000002,53.62552500000001,140.85347499999997,11.748000000000001
轨迹一碳排放量,6160.022724799999,1945.1328426000002,342.60117877500016,784.4249939500003,1613.2798721749987,3659.410509675,459.57816684999966,407.218842475,996.7831275750011,304.22886710000006,498.8287108999998,723.4265150250001,751.6818190500004,488.64729705,455.96950042500015,8.066253425000001,232.938257475,52.24192762500001,131.0258397,11.337310725000002
轨迹二碳排放量,6503.927481074989,2081.1010854749998,361.55045987500006,856.7163423250006,1690.7472208250012,3936.884183875009,496.05877072500004,424.93186849999984,1057.1866716750012,318.3680718500001,525.831758,752.781136175,788.7925767749997,525.0914356499995,500.88838827500024,8.21064395,256.0217486250002,53.46464842500001,140.430914575,11.712756000000002
柜子覆盖度,0.563784355,0.568260642,0.596720099,0.587603834,0.535855004,0.614117647,0.54429573,0.520043337,0.547033285,0.538454462,0.552695483,0.523274854,0.524166667,0.56244886,0.678936125,0.631546,0.62655087,0.491463415,0.571172325,0.54469712
