,苏锡[宇谷],泉州[宇谷],杭州[宇谷],广佛[宇谷],上海[宇谷],郑州[宇谷],金华[宇谷],西安[宇谷],济南[宇谷],北京[宇谷],长沙[宇谷],成都[宇谷],深圳[宇谷],福州[宇谷],武汉[宇谷],合肥[宇谷],九江[宇谷],东莞[宇谷],南昌[宇谷]
采样用户数,739.0,141.0,2018.0,256.0,345.0,131.0,536.0,84.0,143.0,281.0,117.0,1171.0,404.0,273.0,328.0,169.0,21.0,125.0,8.0
轨迹一里程数,50400.54400000001,9435.516000000003,129585.53000000004,16904.91900000001,25172.753999999983,9063.536,37045.719,5584.375,9315.452999999996,21137.75399999999,6996.133999999997,81540.8059999999,24565.551,16545.877999999993,20426.421000000013,11091.337,1354.8259999999998,8066.675999999999,642.3350000000002
轨迹二里程数,53489.374000000025,9780.069,136609.8240000001,17762.500999999986,26651.510000000013,9735.798000000004,38643.524000000005,5944.279,9913.432000000004,23197.003999999997,7349.113,89131.77199999994,25950.983,17246.704,21215.587,11779.040999999996,1389.743,8471.875999999998,662.828
轨迹一用电量,1260.0136000000002,235.8879000000001,3239.6382500000013,422.6229750000002,629.3188499999997,226.5884,926.142975,139.609375,232.8863249999999,528.4438499999998,174.90334999999993,2038.5201499999976,614.138775,413.64694999999983,510.66052500000035,277.283425,33.87065,201.66689999999997,16.058375000000005
轨迹二用电量,1337.2343500000006,244.501725,3415.245600000003,444.06252499999965,666.2877500000004,243.3949500000001,966.0881000000002,148.606975,247.83580000000012,579.9250999999999,183.72782500000002,2228.2942999999987,648.774575,431.16760000000005,530.389675,294.4760249999999,34.743575,211.79689999999997,16.5707
轨迹一碳排放量,1256.2335592000004,235.1802363000001,3229.9193352500015,421.35510607500026,627.4308934499996,225.90863480000002,923.364546075,139.19054687500002,232.1876660249999,526.8585184499998,174.37863994999995,2032.4045895499976,612.2963586750001,412.4060091499999,509.1285434250004,276.451574725,33.76903805,201.0618993,16.010199875000005
轨迹二碳排放量,1333.2226469500008,243.76821982500002,3404.999863200003,442.7303374249997,664.2888867500004,242.66476515000014,963.1898357000002,148.16115407500004,247.09229260000012,578.1853247,183.17664152500004,2221.6094170999986,646.8282512750001,429.8740972000001,528.798505975,293.5925969249999,34.639344275,211.16150929999998,16.5209879
柜子覆盖度,0.568260642,0.520043337,0.563784355,0.552695483,0.587603834,0.596720099,0.535855004,0.62655087,0.54429573,0.678936125,0.538454462,0.614117647,0.547033285,0.524166667,0.523274854,0.56244886,0.491463415,0.571172325,0.54469712
