,苏锡[宇谷],杭州[宇谷],郑州[宇谷],成都[宇谷],金华[宇谷],西安[宇谷],长沙[宇谷],上海[宇谷],福州[宇谷],深圳[宇谷],合肥[宇谷],广佛[宇谷],济南[宇谷],北京[宇谷],武汉[宇谷],九江[宇谷],泉州[宇谷],南昌[宇谷],东莞[宇谷]
采样用户数,383.0,1512.0,86.0,852.0,309.0,37.0,92.0,49.0,187.0,205.0,117.0,75.0,102.0,61.0,150.0,9.0,8.0,3.0,14.0
轨迹一里程数,24880.50200000001,95188.80900000008,5461.767000000001,56320.10599999999,20425.566999999992,2586.727,5267.286999999998,3904.65,11118.22,12440.597999999998,7183.422999999999,5127.278000000001,6359.805,4027.8359999999993,9131.559,567.234,449.624,249.53,954.616
轨迹二里程数,26517.72400000001,100261.18100000008,5829.429999999999,60892.761000000006,21444.86400000001,2891.7810000000004,5527.269,4112.146999999998,11652.788999999995,12960.998999999998,7567.959000000001,5378.952999999999,6737.278999999999,4458.821000000002,9485.107999999997,574.917,459.208,271.231,1002.122
轨迹一用电量,622.0125500000004,2379.7202250000023,136.54417500000002,1408.00265,510.6391749999998,64.668175,131.68217499999997,97.61625000000001,277.9555,311.01495,179.58557499999998,128.18195000000003,158.99512500000003,100.6959,228.288975,14.180850000000001,11.2406,6.238250000000001,23.8654
轨迹二用电量,662.9431000000003,2506.529525000002,145.73575,1522.3190250000002,536.1216000000003,72.29452500000001,138.181725,102.80367499999996,291.3197249999999,324.024975,189.19897500000002,134.47382499999998,168.43197499999997,111.47052500000005,237.12769999999992,14.372925000000002,11.480200000000002,6.780775,25.05305
轨迹一碳排放量,620.1465123500003,2372.5810643250024,136.13454247500005,1403.77864205,509.10725747499987,64.47417047500001,131.28712847499997,97.32340125000002,277.12163350000003,310.08190515,179.046818275,127.79740415000005,158.51813962500003,100.3938123,227.604108075,14.138307450000003,11.206878200000002,6.219535250000001,23.793803800000003
轨迹二碳排放量,660.9542707000003,2499.0099364250023,145.29854275,1517.7520679250003,534.5132352000003,72.07764142500002,137.76717982500003,102.49526397499996,290.4457658249999,323.05290007499997,188.63137807500004,134.070403525,167.92667907499998,111.13611342500006,236.41631689999994,14.329806225000002,11.445759400000002,6.760432675000001,24.97789085
柜子覆盖度,0.568260642,0.563784355,0.596720099,0.614117647,0.535855004,0.62655087,0.538454462,0.587603834,0.524166667,0.547033285,0.56244886,0.552695483,0.54429573,0.678936125,0.523274854,0.491463415,0.520043337,0.54469712,0.571172325
