,苏锡[宇谷],杭州[宇谷],上海[宇谷],西安[宇谷],郑州[宇谷],济南[宇谷],金华[宇谷],成都[宇谷],长沙[宇谷],东莞[宇谷],福州[宇谷],深圳[宇谷],合肥[宇谷],广佛[宇谷],武汉[宇谷],泉州[宇谷],惠州[宇谷],九江[宇谷],北京[宇谷],南昌[宇谷]
采样用户数,794.0,2486.0,284.0,96.0,124.0,179.0,594.0,1530.0,142.0,73.0,285.0,491.0,198.0,205.0,355.0,166.0,2.0,21.0,224.0,4.0
轨迹一里程数,54678.588,160518.4540000006,19817.652000000013,6756.734999999998,8758.402,12603.841999999995,39903.64600000002,110286.38600000004,8743.042999999998,4927.018000000001,17067.54700000001,32443.408,13286.101999999995,13540.874000000002,23213.725,10411.266999999993,183.168,1104.215,16277.791,301.076
轨迹二里程数,58203.32300000003,169917.68600000037,21154.80799999998,7320.609,9314.412999999997,13339.288999999995,41827.099999999984,120020.004,9181.931000000002,5267.708000000002,17677.403000000006,34416.63299999998,14294.279000000008,14210.227999999996,24096.192000000017,10877.423999999995,194.455,1130.586,17778.41099999999,316.486
轨迹一用电量,1366.9647000000002,4012.9613500000155,495.44130000000035,168.91837499999997,218.96005000000002,315.0960499999999,997.5911500000007,2757.1596500000014,218.57607499999995,123.17545000000003,426.6886750000003,811.0852,332.1525499999999,338.5218500000001,580.343125,260.28167499999984,4.5792,27.605375,406.944775,7.526900000000001
轨迹二用电量,1455.083075000001,4247.942150000009,528.8701999999995,183.01522500000002,232.86032499999993,333.4822249999999,1045.6774999999996,3000.5001,229.54827500000007,131.69270000000006,441.93507500000015,860.4158249999996,357.3569750000002,355.25569999999993,602.4048000000005,271.9355999999999,4.861375000000001,28.264650000000003,444.46027499999974,7.9121500000000005
轨迹一碳排放量,1362.8638059000002,4000.9224659500155,493.95497610000035,168.41161987499996,218.30316985000002,314.1507618499999,994.5983765500007,2748.8881710500013,217.92034677499996,122.80592365000004,425.4086089750003,808.6519444,331.15609234999994,337.50628445000007,578.6020956250001,259.5008299749998,4.5654624,27.522558875,405.72394067500005,7.5043193000000015
轨迹二碳排放量,1450.717825775001,4235.198323550009,527.2835893999995,182.46617932500004,232.16174402499993,332.48177832499994,1042.5404674999997,2991.4985997000003,228.8596301750001,131.29762190000008,440.6092697750002,857.8345775249996,356.2849040750002,354.1899328999999,600.5975856000005,271.1197931999999,4.846790875000001,28.179856050000005,443.1268941749998,7.888413550000001
柜子覆盖度,0.568260642,0.563784355,0.587603834,0.62655087,0.596720099,0.54429573,0.535855004,0.614117647,0.538454462,0.571172325,0.524166667,0.547033285,0.56244886,0.552695483,0.523274854,0.520043337,0.631546,0.491463415,0.678936125,0.54469712
