,苏锡[宇谷],杭州[宇谷],郑州[宇谷],成都[宇谷],金华[宇谷],西安[宇谷],长沙[宇谷],上海[宇谷],福州[宇谷],深圳[宇谷],合肥[宇谷],广佛[宇谷],济南[宇谷],北京[宇谷],武汉[宇谷],九江[宇谷],泉州[宇谷],南昌[宇谷],东莞[宇谷]
采样用户数,586.0,2261.0,130.0,1210.0,459.0,51.0,139.0,84.0,288.0,317.0,183.0,109.0,157.0,87.0,218.0,14.0,15.0,4.0,24.0
轨迹一里程数,38714.46900000002,142630.88300000006,8619.928999999998,79376.94299999998,30940.442000000006,3530.3810000000003,8172.651999999999,6643.506999999998,17272.082000000002,19143.674999999992,11310.346,7589.675000000002,9785.451,5847.131,13599.781,893.794,780.667,344.565,1621.9939999999997
轨迹二里程数,41394.97799999998,150170.86600000013,9248.471,85507.77400000002,32493.967,3935.565000000001,8561.454,7035.540999999998,18087.023,20012.879999999983,11903.276000000002,7987.055,10358.416,6467.090000000003,14079.337999999994,912.394,797.7650000000001,366.266,1697.66
轨迹一用电量,967.8617250000005,3565.7720750000017,215.49822499999996,1984.4235749999998,773.5110500000002,88.25952500000001,204.31629999999998,166.08767499999996,431.80205000000007,478.59187499999985,282.75865,189.74187500000005,244.63627499999998,146.178275,339.99452500000007,22.34485,19.516675000000003,8.614125,40.54984999999999
轨迹二用电量,1034.8744499999996,3754.2716500000033,231.211775,2137.6943500000007,812.3491750000001,98.38912500000004,214.03635,175.88852499999996,452.17557500000004,500.3219999999996,297.5819000000001,199.676375,258.9604,161.67725000000007,351.9834499999999,22.80985,19.944125000000003,9.15665,42.441500000000005
轨迹一碳排放量,964.9581398250006,3555.074758775002,214.85173032499998,1978.4703042749998,771.1905168500002,87.99474642500002,203.7033511,165.58941197499996,430.5066438500001,477.1560993749998,281.91037405000003,189.17264937500008,243.902366175,145.73974017500004,338.97454142500004,22.277815450000002,19.458124975000004,8.588282625000002,40.42820045
轨迹二碳排放量,1031.7698266499997,3743.0088350500037,230.51813967500001,2131.281266950001,809.9121274750001,98.09395762500003,213.39424095,175.36085942499997,450.81904827500006,498.8210339999996,296.6891543000001,199.07734587500002,258.1835188,161.19221825000008,350.9274996499999,22.741420450000003,19.884292625000004,9.129180050000002,42.314175500000005
柜子覆盖度,0.568260642,0.563784355,0.596720099,0.614117647,0.535855004,0.62655087,0.538454462,0.587603834,0.524166667,0.547033285,0.56244886,0.552695483,0.54429573,0.678936125,0.523274854,0.491463415,0.520043337,0.54469712,0.571172325
