,苏锡[宇谷],杭州[宇谷],郑州[宇谷],广佛[宇谷],上海[宇谷],福州[宇谷],金华[宇谷],北京[宇谷],济南[宇谷],成都[宇谷],深圳[宇谷],武汉[宇谷],长沙[宇谷],合肥[宇谷],九江[宇谷],西安[宇谷],泉州[宇谷],东莞[宇谷],南昌[宇谷]
采样用户数,1197.0,3800.0,191.0,381.0,589.0,470.0,945.0,326.0,245.0,2304.0,693.0,516.0,211.0,312.0,25.0,167.0,246.0,125.0,10.0
轨迹一里程数,81966.21599999993,246134.3309999999,12897.774000000009,25081.213,42374.81599999999,27936.455000000027,65904.75200000005,23477.301999999992,16825.125999999997,154133.029,42643.50600000001,32069.72199999999,12602.112000000005,20153.707999999988,1624.0019999999995,11777.030000000006,15880.30599999999,9608.140000000005,673.302
轨迹二里程数,87245.46099999991,259638.46999999983,13910.035,26291.721,44925.262,29041.42100000003,68806.51100000001,25748.97200000001,17921.659000000003,167958.1950000004,44809.58100000004,33287.30799999999,13184.622000000005,21452.65299999999,1680.8539999999998,12789.739999999998,16431.833999999988,10124.155000000004,705.1759999999998
轨迹一用电量,2049.1553999999983,6153.358274999998,322.4443500000002,627.0303250000001,1059.3703999999998,698.4113750000007,1647.6188000000013,586.9325499999999,420.62814999999995,3853.3257250000006,1066.0876500000002,801.7430499999998,315.05280000000016,503.8426999999997,40.60004999999999,294.42575000000016,397.0076499999998,240.20350000000013,16.83255
轨迹二用电量,2181.1365249999976,6490.961749999996,347.750875,657.2930250000001,1123.13155,726.0355250000008,1720.1627750000005,643.7243000000003,448.0414750000001,4198.95487500001,1120.239525000001,832.1826999999998,329.61555000000016,536.3163249999998,42.02135,319.7435,410.79584999999975,253.10387500000013,17.629399999999997
轨迹一碳排放量,2043.0079337999985,6134.898200174998,321.47701695000023,625.149234025,1056.1922888,696.3161408750008,1642.6759436000013,585.1717523499999,419.36626555,3841.7657478250007,1062.8893870500003,799.3378208499998,314.10764160000014,502.33117189999973,40.47824984999999,293.5424727500002,395.8166270499998,239.48288950000014,16.78205235
轨迹二碳排放量,2174.593115424998,6471.4888647499965,346.707622375,655.3211459250001,1119.7621553500003,723.8574184250009,1715.0022866750005,641.7931271000003,446.69735057500014,4186.358010375011,1116.8788064250011,829.6861518999998,328.6267033500002,534.7073760249998,41.89528595,318.7842695,409.56346244999975,252.34456337500012,17.5765118
柜子覆盖度,0.568260642,0.563784355,0.596720099,0.552695483,0.587603834,0.524166667,0.535855004,0.678936125,0.54429573,0.614117647,0.547033285,0.523274854,0.538454462,0.56244886,0.491463415,0.62655087,0.520043337,0.571172325,0.54469712
