,苏锡[宇谷],泉州[宇谷],杭州[宇谷],郑州[宇谷],广佛[宇谷],上海[宇谷],福州[宇谷],金华[宇谷],济南[宇谷],成都[宇谷],深圳[宇谷],武汉[宇谷],北京[宇谷],长沙[宇谷],合肥[宇谷],九江[宇谷],西安[宇谷],东莞[宇谷],南昌[宇谷],惠州[宇谷]
采样用户数,1873.0,414.0,4536.0,268.0,777.0,856.0,690.0,1222.0,351.0,2643.0,1127.0,874.0,843.0,310.0,438.0,44.0,196.0,306.0,76.0,7.0
轨迹一里程数,133526.2779999997,26721.706,293186.02999999985,18628.458,50649.148,64584.71400000004,43345.042,83980.77299999996,23692.448,190579.14000000028,76022.12100000004,56323.00200000003,61905.49300000001,18372.176,29323.427000000014,2714.526,13631.811999999998,21000.73000000001,5480.837,521.804
轨迹二里程数,141074.88199999984,27670.773,310230.1770000006,20148.307,53524.23300000003,68542.71600000001,45032.478,87924.15199999986,25270.246,208163.8910000001,80714.24999999983,58351.85099999992,67620.796,19340.946999999996,31217.09000000001,2825.68,14918.045999999991,21857.104000000018,5629.522999999999,549.27
轨迹一用电量,3338.156949999993,668.04265,7329.650749999997,465.71145,1266.2287000000001,1614.6178500000012,1083.62605,2099.519324999999,592.3112,4764.478500000007,1900.553025000001,1408.0750500000008,1547.6373250000004,459.3044,733.0856750000004,67.86315,340.7953,525.0182500000003,137.020925,13.0451
轨迹二用电量,3526.8720499999963,691.7693250000001,7755.7544250000155,503.70767500000005,1338.1058250000008,1713.5679000000005,1125.81195,2198.1037999999967,631.75615,5204.097275000003,2017.8562499999957,1458.796274999998,1690.5199000000002,483.5236749999999,780.4272500000003,70.642,372.9511499999998,546.4276000000004,140.73807499999998,13.73175
轨迹一碳排放量,3328.142479149993,666.03852205,7307.661797749997,464.31431565,1262.4300139000002,1609.7739964500013,1080.3751718500002,2093.220767024999,590.5342664000001,4750.185064500008,1894.8513659250013,1403.850824850001,1542.9944130250003,457.9264868,730.8864179750004,67.65956055000001,339.7729141,523.4431952500004,136.60986222500003,13.005964700000002
轨迹二碳排放量,3516.2914338499963,689.6940170250001,7732.4871617250155,502.1965519750001,1334.091507525001,1708.4271963000006,1122.4345141500003,2191.5094885999965,629.86088155,5188.4849831750025,2011.8026812499959,1454.4198861749983,1685.4483403000002,482.073103975,778.0859682500004,70.430074,371.8322965499998,544.7883172000005,140.315860775,13.69055475
柜子覆盖度,0.568260642,0.520043337,0.563784355,0.596720099,0.552695483,0.587603834,0.524166667,0.535855004,0.54429573,0.614117647,0.547033285,0.523274854,0.678936125,0.538454462,0.56244886,0.491463415,0.62655087,0.571172325,0.54469712,0.631546
