,苏锡[宇谷],泉州[宇谷],杭州[宇谷],郑州[宇谷],广佛[宇谷],上海[宇谷],福州[宇谷],金华[宇谷],济南[宇谷],成都[宇谷],深圳[宇谷],武汉[宇谷],北京[宇谷],长沙[宇谷],合肥[宇谷],九江[宇谷],西安[宇谷],东莞[宇谷],南昌[宇谷],惠州[宇谷]
采样用户数,944.0,205.0,2187.0,137.0,364.0,405.0,360.0,559.0,160.0,1253.0,529.0,418.0,429.0,155.0,204.0,22.0,98.0,154.0,28.0,3.0
轨迹一里程数,67291.16699999993,12997.395000000004,140751.69399999993,9273.688999999997,23440.77000000002,30651.18499999999,22468.506999999998,37238.31299999998,10220.157,86805.8050000001,33814.41100000001,26693.736000000008,31595.327,8887.869000000004,13577.294999999996,1448.5300000000002,6827.9000000000015,10197.487,1994.0029999999997,189.68
轨迹二里程数,71416.57399999998,13436.313999999997,149484.04000000024,10016.528999999997,24798.196999999996,32665.27800000002,23318.482,38897.54000000001,10847.595000000005,94267.07100000016,35837.32500000001,27612.059999999998,34633.03300000001,9363.796000000002,14591.855999999989,1511.178,7497.809999999999,10640.104000000005,2038.096,197.916
轨迹一用电量,1682.2791749999983,324.93487500000015,3518.7923499999984,231.84222499999993,586.0192500000005,766.2796249999998,561.712675,930.9578249999995,255.50392499999998,2170.1451250000023,845.3602750000002,667.3434000000002,789.883175,222.19672500000013,339.4323749999999,36.21325000000001,170.69750000000005,254.937175,49.850075,4.742
轨迹二用电量,1785.4143499999996,335.90784999999994,3737.101000000006,250.41322499999993,619.954925,816.6319500000005,582.96205,972.4385000000002,271.18987500000014,2356.676775000004,895.9331250000004,690.3015,865.8258250000003,234.09490000000005,364.7963999999997,37.779450000000004,187.44525,266.00260000000014,50.952400000000004,4.947900000000001
轨迹一碳排放量,1677.2323374749983,323.96007037500016,3508.2359729499985,231.14669832499993,584.2611922500005,763.9807861249999,560.027536975,928.1649515249997,254.737413225,2163.6346896250025,842.8241941750002,665.3413698000003,787.5135254750002,221.53013482500012,338.414077875,36.10461025000001,170.18540750000005,254.172363475,49.700524775,4.727774000000001
轨迹二碳排放量,1780.0581069499997,334.90012644999996,3725.8896970000064,249.66198532499996,618.095060225,814.1820541500006,581.2131638500001,969.5211845000003,270.37630537500013,2349.606744675004,893.2453256250004,688.2305955,863.2283475250003,233.39261530000007,363.70201079999975,37.666111650000005,186.88291425,265.20459220000015,50.799542800000005,4.9330563000000005
柜子覆盖度,0.568260642,0.520043337,0.563784355,0.596720099,0.552695483,0.587603834,0.524166667,0.535855004,0.54429573,0.614117647,0.547033285,0.523274854,0.678936125,0.538454462,0.56244886,0.491463415,0.62655087,0.571172325,0.54469712,0.631546
