,苏锡[宇谷],杭州[宇谷],上海[宇谷],西安[宇谷],郑州[宇谷],济南[宇谷],金华[宇谷],成都[宇谷],长沙[宇谷],东莞[宇谷],福州[宇谷],深圳[宇谷],合肥[宇谷],广佛[宇谷],武汉[宇谷],泉州[宇谷],惠州[宇谷],九江[宇谷],北京[宇谷],南昌[宇谷]
采样用户数,1313.0,4039.0,475.0,153.0,192.0,292.0,1005.0,2525.0,238.0,115.0,481.0,815.0,316.0,351.0,576.0,264.0,2.0,33.0,393.0,6.0
轨迹一里程数,89894.31799999994,260431.237000001,33566.982000000025,10621.463,13707.183,20700.337999999985,67504.63700000006,174728.91999999966,14125.058000000006,8052.777000000002,28709.75200000001,52825.71999999992,20620.473999999987,22686.659,37694.002000000015,16637.65299999999,183.168,1724.953,27896.76900000002,386.341
轨迹二里程数,95479.282,275036.5890000007,35718.09599999998,11485.811000000002,14574.697000000002,21885.481999999996,70488.192,189735.6030000001,14832.685000000003,8550.535000000005,29776.701000000023,55793.083999999966,22110.379999999997,23841.335,39185.24200000002,17395.22000000001,194.455,1766.413,30378.151,401.751
轨迹一用电量,2247.3579499999987,6510.7809250000255,839.1745500000006,265.536575,342.67957500000006,517.5084499999997,1687.6159250000017,4368.222999999992,353.1264500000002,201.31942500000005,717.7438000000003,1320.6429999999982,515.5118499999998,567.166475,942.3500500000005,415.9413249999998,4.5792,43.123825000000004,697.4192250000006,9.658525000000001
轨迹二用电量,2386.98205,6875.914725000017,892.9523999999997,287.145275,364.3674250000001,547.1370499999999,1762.2048,4743.390075000002,370.8171250000001,213.76337500000014,744.4175250000006,1394.8270999999993,552.7595,596.033375,979.6310500000005,434.8805000000002,4.861375000000001,44.160325,759.4537750000001,10.043775
轨迹一碳排放量,2240.6158761499987,6491.2485822250255,836.6570263500007,264.73996527500003,341.65153627500007,515.9559246499997,1682.5530772250017,4355.118330999992,352.0670706500002,200.71546672500006,715.5905686000003,1316.6810709999982,513.9653144499997,565.464975575,939.5229998500005,414.6935010249998,4.5654624,42.994453525000004,695.3269673250005,9.629549425
轨迹二碳排放量,2379.8211038500003,6855.286980825018,890.2735427999996,286.2838391750001,363.2743227250001,545.49563885,1756.9181856,4729.159904775002,369.7046736250001,213.12208487500016,742.1842724250007,1390.6426186999993,551.1012215,594.2452748750001,976.6921568500006,433.57585850000027,4.846790875000001,44.02784402500001,757.1754136750001,10.013643675
柜子覆盖度,0.568260642,0.563784355,0.587603834,0.62655087,0.596720099,0.54429573,0.535855004,0.614117647,0.538454462,0.571172325,0.524166667,0.547033285,0.56244886,0.552695483,0.523274854,0.520043337,0.631546,0.491463415,0.678936125,0.54469712
