,苏锡[宇谷],泉州[宇谷],杭州[宇谷],郑州[宇谷],广佛[宇谷],上海[宇谷],福州[宇谷],金华[宇谷],济南[宇谷],成都[宇谷],深圳[宇谷],武汉[宇谷],北京[宇谷],长沙[宇谷],合肥[宇谷],九江[宇谷],西安[宇谷],东莞[宇谷],南昌[宇谷],惠州[宇谷]
采样用户数,1387.0,307.0,3320.0,201.0,555.0,615.0,519.0,870.0,235.0,1892.0,810.0,651.0,630.0,236.0,312.0,36.0,148.0,226.0,45.0,5.0
轨迹一里程数,99591.88099999986,19584.737999999983,214997.6849999998,13873.280999999995,36170.556,46661.442,32512.515,59380.334000000046,15582.960999999998,133277.573,53499.56100000004,41963.88000000002,46656.07599999999,13810.823000000002,20973.239000000005,2186.077,10143.183,15211.815,3077.641,375.966
轨迹二里程数,105320.91900000004,20260.951999999987,227725.1560000004,15012.529,38206.035,49602.25500000001,33797.291000000005,62198.19899999999,16555.955999999995,145021.14800000034,56772.072999999946,43457.37299999995,51062.631,14507.865000000003,22441.547999999995,2281.299,11121.034,15855.652000000002,3162.545,396.92
轨迹一用电量,2489.7970249999967,489.6184499999996,5374.942124999995,346.83202499999993,904.2638999999999,1166.5360500000002,812.8128750000001,1484.5083500000012,389.57402499999995,3331.9393250000003,1337.489025000001,1049.0970000000004,1166.4018999999996,345.27057500000006,524.3309750000002,54.651925000000006,253.57957500000003,380.29537500000004,76.94102500000001,9.39915
轨迹二用电量,2633.022975000001,506.5237999999997,5693.128900000011,375.31322500000005,955.1508750000002,1240.0563750000003,844.9322750000001,1554.9549749999999,413.8988999999999,3625.5287000000085,1419.3018249999986,1086.4343249999988,1276.565775,362.6966250000001,561.0387,57.032475000000005,278.02585,396.39130000000006,79.063625,9.923000000000002
轨迹一碳排放量,2482.327633924997,488.14959464999964,5358.817298624996,345.7915289249999,901.5511083,1163.0364418500003,810.3744363750001,1480.0548249500014,388.405302925,3321.9435070250006,1333.476557925001,1045.9497090000007,1162.9026943,344.2347632750001,522.7579820750002,54.487969225000015,252.81883627500005,379.154488875,76.710201925,9.370952550000002
轨迹二碳排放量,2625.1239060750013,505.0042285999997,5676.04951330001,374.18728532500006,952.2854223750002,1236.3362058750004,842.3974781750002,1550.290110075,412.65720329999994,3614.6521139000088,1415.0439195249987,1083.1750220249987,1272.7360776750002,361.6085351250001,559.3555838999999,56.861377575000006,277.19177245000003,395.2021261000001,78.826434125,9.893231000000002
柜子覆盖度,0.568260642,0.520043337,0.563784355,0.596720099,0.552695483,0.587603834,0.524166667,0.535855004,0.54429573,0.614117647,0.547033285,0.523274854,0.678936125,0.538454462,0.56244886,0.491463415,0.62655087,0.571172325,0.54469712,0.631546
