,苏锡[宇谷],泉州[宇谷],杭州[宇谷],郑州[宇谷],广佛[宇谷],上海[宇谷],福州[宇谷],金华[宇谷],济南[宇谷],成都[宇谷],深圳[宇谷],武汉[宇谷],北京[宇谷],长沙[宇谷],合肥[宇谷],九江[宇谷],西安[宇谷],东莞[宇谷],南昌[宇谷],惠州[宇谷]
采样用户数,2356.0,511.0,5851.0,333.0,997.0,1086.0,862.0,1570.0,429.0,3450.0,1416.0,1098.0,1065.0,381.0,549.0,57.0,260.0,387.0,103.0,8.0
轨迹一里程数,167634.75199999992,33533.04999999999,377531.26399999904,22890.894000000004,65016.22300000002,81413.0480000001,53822.77699999998,107243.23799999992,28731.305000000008,255270.2900000004,95212.91,70367.64699999994,79275.41400000006,22567.69,36674.58200000004,3521.563000000001,18250.990000000005,26235.511000000017,7316.733000000002,568.3689999999999
轨迹二里程数,177318.95599999977,34764.12500000001,399777.22399999975,24780.15699999998,68602.41,86455.15100000006,55939.867000000006,112329.36599999997,30689.03400000002,280395.6019999996,101241.24899999984,72930.1749999999,86921.04899999997,23742.205,39031.472,3664.017,20009.695,27310.96400000004,7527.103999999997,595.835
轨迹一用电量,4190.868799999998,838.3262499999997,9438.281599999977,572.2723500000001,1625.4055750000007,2035.3262000000025,1345.5694249999997,2681.080949999998,718.2826250000003,6381.75725000001,2380.3227500000003,1759.1911749999986,1981.8853500000016,564.19225,916.864550000001,88.03907500000003,456.27475000000015,655.8877750000005,182.91832500000007,14.209224999999998
轨迹二用电量,4432.9738999999945,869.1031250000002,9994.430599999994,619.5039249999995,1715.0602500000002,2161.3787750000015,1398.4966750000003,2808.2341499999993,767.2258500000006,7009.890049999991,2531.031224999996,1823.2543749999977,2173.026224999999,593.5551250000001,975.7868000000001,91.600425,500.24237500000004,682.774100000001,188.17759999999993,14.895875000000002
轨迹一碳排放量,4178.296193599998,835.8112712499998,9409.966755199977,570.5555329500002,1620.5293582750007,2029.2202214000026,1341.5327167249995,2673.0377071499984,716.1277771250003,6362.61197825001,2373.1817817500005,1753.9136014749986,1975.9396939500018,562.49967325,914.1139563500011,87.77495777500003,454.90592575000016,653.9201116750005,182.36957002500006,14.166597325
轨迹二碳排放量,4419.674978299995,866.4958156250003,9964.447308199995,617.6454132249996,1709.9150692500002,2154.8946386750017,1394.3011849750003,2799.8094475499993,764.9241724500006,6988.860379849991,2523.438131324996,1817.7846118749978,2166.5071463249997,591.7744596250001,972.8594396000002,91.325623725,498.74164787500007,680.7257777000011,187.61306719999993,14.851187375000002
柜子覆盖度,0.568260642,0.520043337,0.563784355,0.596720099,0.552695483,0.587603834,0.524166667,0.535855004,0.54429573,0.614117647,0.547033285,0.523274854,0.678936125,0.538454462,0.56244886,0.491463415,0.62655087,0.571172325,0.54469712,0.631546
