,杭州[宇谷],苏锡[宇谷],郑州[宇谷],上海[宇谷],金华[宇谷],成都[宇谷],济南[宇谷],泉州[宇谷],深圳[宇谷],长沙[宇谷],广佛[宇谷],武汉[宇谷],福州[宇谷],合肥[宇谷],北京[宇谷],惠州[宇谷],西安[宇谷],九江[宇谷],东莞[宇谷],南昌[宇谷]
采样用户数,3102.0,925.0,156.0,309.0,757.0,1739.0,193.0,195.0,506.0,162.0,247.0,370.0,386.0,257.0,211.0,3.0,104.0,29.0,60.0,5.0
轨迹一里程数,199083.69200000013,62911.254,11242.560000000003,24737.53700000001,52196.94099999997,115843.80500000012,14206.993999999992,12722.328999999996,31433.37300000002,9749.853000000005,15678.741999999991,23502.318,24223.86600000001,16121.880000000005,14717.867000000002,237.794,7436.953999999997,1768.514,4171.262,321.091
轨迹二里程数,210054.8769999996,67266.34900000002,11876.238999999996,27005.02200000001,54657.56799999999,124449.7270000002,15380.193999999992,13277.623999999994,33331.81000000002,10186.738000000005,16429.445,24478.313,25419.206999999984,17320.30599999999,16024.450000000004,243.587,8137.872000000001,1813.654,4448.365,332.214
轨迹一用电量,4977.092300000004,1572.7813500000002,281.0640000000001,618.4384250000003,1304.9235249999992,2896.0951250000035,355.1748499999998,318.05822499999994,785.8343250000006,243.74632500000013,391.9685499999998,587.55795,605.5966500000003,403.04700000000014,367.9466750000001,5.944850000000001,185.92384999999993,44.21285,104.28155,8.027275000000001
轨迹二用电量,5251.37192499999,1681.6587250000005,296.9059749999999,675.1255500000003,1366.4391999999998,3111.243175000005,384.5048499999998,331.9405999999999,833.2952500000006,254.66845000000012,410.736125,611.957825,635.4801749999997,433.0076499999998,400.61125000000015,6.089675,203.44680000000005,45.341350000000006,111.209125,8.30535
轨迹一碳排放量,4962.161023100004,1568.0630059500002,280.2208080000001,616.5831097250003,1301.0087544249993,2887.4068396250036,354.1093254499998,317.10405032499995,783.4768220250006,243.01508602500013,390.7926443499998,585.7952761500001,603.7798600500003,401.83785900000015,366.8428349750001,5.927015450000001,185.36607844999995,44.08021145,103.96870535000001,8.003193175000002
轨迹二碳排放量,5235.61780922499,1676.6137488250006,296.0152570749999,673.1001733500003,1362.3398823999999,3101.909445475005,383.35133544999985,330.9447781999999,830.7953642500006,253.90444465000016,409.50391662500004,610.121951525,633.5737344749997,431.7086270499998,399.40941625000016,6.071405975,202.83645960000004,45.20532595,110.87549762500001,8.28043395
柜子覆盖度,0.563784355,0.568260642,0.596720099,0.587603834,0.535855004,0.614117647,0.54429573,0.520043337,0.547033285,0.538454462,0.552695483,0.523274854,0.524166667,0.56244886,0.678936125,0.631546,0.62655087,0.491463415,0.571172325,0.54469712
