,苏锡[宇谷],杭州[宇谷],郑州[宇谷],广佛[宇谷],上海[宇谷],福州[宇谷],金华[宇谷],北京[宇谷],济南[宇谷],成都[宇谷],深圳[宇谷],武汉[宇谷],长沙[宇谷],合肥[宇谷],九江[宇谷],西安[宇谷],泉州[宇谷],东莞[宇谷],南昌[宇谷]
采样用户数,923.0,2869.0,149.0,277.0,442.0,338.0,693.0,239.0,185.0,1776.0,535.0,393.0,169.0,245.0,20.0,132.0,185.0,95.0,8.0
轨迹一里程数,63658.567,186085.55399999965,10010.846000000009,18607.928000000007,31444.540000000005,20052.48600000002,48435.82000000001,17085.24199999999,12614.027999999997,118273.69699999991,32976.02099999997,25081.329,10210.707,15722.846999999998,1259.7659999999998,9279.263,11951.807999999988,7278.963000000002,549.7230000000001
轨迹二里程数,67574.35999999997,196186.85200000004,10784.966000000002,19469.399000000023,33227.65400000001,20832.548000000003,50628.704999999965,18716.016000000003,13383.619000000002,129018.14500000016,34633.095,26077.853000000006,10664.538,16753.604999999996,1305.504,10081.875,12383.249999999987,7653.171000000002,581.5969999999999
轨迹一用电量,1591.464175,4652.138849999991,250.27115000000023,465.1982000000002,786.1135000000002,501.3121500000005,1210.8955000000003,427.1310499999998,315.35069999999996,2956.842424999998,824.4005249999993,627.0332250000001,255.26767500000003,393.071175,31.494149999999998,231.98157500000002,298.79519999999974,181.97407500000006,13.743075000000003
轨迹二用电量,1689.3589999999995,4904.671300000001,269.62415000000004,486.7349750000006,830.6913500000003,520.8137,1265.7176249999993,467.9004000000001,334.5904750000001,3225.453625000004,865.8273750000001,651.9463250000002,266.61345,418.84012499999994,32.6376,252.046875,309.5812499999997,191.32927500000005,14.539924999999997
轨迹一碳排放量,1586.6897824750001,4638.182433449992,249.52033655000025,463.80260540000023,783.7551595000002,499.8082135500005,1207.2628135000002,425.8496568499998,314.40464789999993,2947.971897724998,821.9273234249994,625.1521253250002,254.50187197500003,391.891961475,31.39966755,231.28563027500005,297.89881439999976,181.42815277500006,13.701845775000002
轨迹二碳排放量,1684.2909229999996,4889.9572861000015,268.8152775500001,485.2747700750006,828.1992759500004,519.2512589000002,1261.9204721249994,466.4966988000001,333.5867035750001,3215.7772641250044,863.2298928750001,649.9904860250002,265.81360965000005,417.58360462499996,32.5396872,251.29073437500003,308.6525062499997,190.75528717500006,14.496305224999999
柜子覆盖度,0.568260642,0.563784355,0.596720099,0.552695483,0.587603834,0.524166667,0.535855004,0.678936125,0.54429573,0.614117647,0.547033285,0.523274854,0.538454462,0.56244886,0.491463415,0.62655087,0.520043337,0.571172325,0.54469712
