,杭州[宇谷],苏锡[宇谷],郑州[宇谷],上海[宇谷],金华[宇谷],成都[宇谷],济南[宇谷],泉州[宇谷],深圳[宇谷],长沙[宇谷],广佛[宇谷],武汉[宇谷],福州[宇谷],合肥[宇谷],北京[宇谷],惠州[宇谷],西安[宇谷],九江[宇谷],东莞[宇谷],南昌[宇谷]
采样用户数,2322.0,693.0,116.0,230.0,564.0,1259.0,142.0,142.0,365.0,122.0,186.0,266.0,275.0,186.0,159.0,3.0,75.0,22.0,47.0,5.0
轨迹一里程数,148103.81599999993,47424.47199999997,8465.867,18438.51400000001,38889.89599999998,83867.40100000006,10371.761,9221.152999999997,22662.101000000017,7411.306,11967.906999999994,16831.965999999997,17353.041999999998,11672.431000000002,11141.518,237.794,5388.025999999997,1375.955,3254.9329999999995,321.091
轨迹二里程数,156236.86799999967,50792.168,8944.973999999997,20135.753000000008,40755.361,90271.1970000001,11233.196999999993,9613.082999999997,23944.733000000004,7731.170000000001,12522.458000000002,17537.554000000004,18168.167,12628.152,12203.487999999998,243.587,5928.736,1411.6539999999998,3491.4749999999995,332.214
轨迹一用电量,3702.5953999999983,1185.6117999999994,211.64667500000002,460.9628500000003,972.2473999999995,2096.6850250000016,259.29402500000003,230.52882499999993,566.5525250000004,185.28265,299.19767499999983,420.79914999999994,433.82604999999995,291.8107750000001,278.53795,5.944850000000001,134.70064999999994,34.398875,81.373325,8.027275000000001
轨迹二用电量,3905.9216999999917,1269.8042,223.62434999999994,503.3938250000002,1018.884025,2256.7799250000025,280.82992499999983,240.32707499999992,598.6183250000001,193.27925000000005,313.0614500000001,438.4388500000001,454.2041750000001,315.7038,305.08719999999994,6.089675,148.2184,35.291349999999994,87.286875,8.30535
轨迹一碳排放量,3691.4876137999986,1182.0549645999995,211.01173497500002,459.5799614500003,969.3306577999996,2090.3949699250015,258.51614292500005,229.83723852499995,564.8528674250005,184.72680205,298.3000819749999,419.53675254999996,432.52457185,290.9353426750001,277.70233615,5.927015450000001,134.29654804999996,34.295678375,81.12920502499999,8.003193175000002
轨迹二碳排放量,3894.203934899992,1265.9947874000002,222.95347694999992,501.88364352500025,1015.8273729250001,2250.009585225003,279.98743522499984,239.60609377499995,596.8224700250001,192.69941225000005,312.1222656500001,437.12353345000014,452.8415624750001,314.7566886,304.1719384,6.071405975,147.7737448,35.18547595,87.025014375,8.28043395
柜子覆盖度,0.563784355,0.568260642,0.596720099,0.587603834,0.535855004,0.614117647,0.54429573,0.520043337,0.547033285,0.538454462,0.552695483,0.523274854,0.524166667,0.56244886,0.678936125,0.631546,0.62655087,0.491463415,0.571172325,0.54469712
