,一线城市,新一线城市,二线城市,三线城市,四线城市,日期
采样用户数,210.0,1335.0,791.0,72.0,4.0,2022-03-02
轨迹一里程数,13410.944999999996,82537.781,51911.76200000001,4643.949000000003,250.584,2022-03-02
轨迹二里程数,14228.701000000001,87627.97499999998,54633.65199999997,4856.136,258.044,2022-03-02
