,新一线城市,一线城市,二线城市,三线城市,四线城市,日期
采样用户数,2118.0,476.0,1269.0,163.0,6.0,2022-07-05
轨迹一里程数,138502.2820000001,31449.291999999987,86769.24199999994,11873.698999999999,490.65,2022-07-05
轨迹二里程数,147647.73699999976,33354.75700000001,91319.44699999996,12866.612999999998,573.69,2022-07-05
