,新一线城市,一线城市,二线城市,三线城市,四线城市,日期
采样用户数,2041.0,475.0,1274.0,139.0,8.0,2022-07-04
轨迹一里程数,132311.26999999984,31916.092,87273.56199999992,10035.201000000006,667.943,2022-07-04
轨迹二里程数,141075.10100000005,34116.74800000002,91731.054,10476.612000000001,718.9749999999999,2022-07-04
