,三线城市,新一线城市,一线城市,二线城市,四线城市,日期
采样用户数,240.0,3183.0,922.0,1964.0,7.0,2022-09-05
轨迹一里程数,16359.119,218538.60299999962,64970.52900000006,134087.01900000003,497.41100000000006,2022-09-05
轨迹二里程数,17228.982000000004,235710.52399999983,69875.79300000006,141364.86400000018,551.476,2022-09-05
