,新一线城市,一线城市,二线城市,三线城市,四线城市,日期
采样用户数,2672.0,839.0,1630.0,219.0,5.0,2022-09-02
轨迹一里程数,176675.8919999999,57344.31899999996,111420.62899999997,15669.253000000002,326.16,2022-09-02
轨迹二里程数,188336.86100000035,61210.11499999997,117212.15599999996,16373.299999999994,346.815,2022-09-02
