,新一线城市,二线城市,一线城市,三线城市,四线城市,日期
采样用户数,1739.0,1000.0,386.0,108.0,6.0,2022-06-03
轨迹一里程数,113065.70700000001,67601.76100000001,25357.452000000005,7740.634000000001,575.362,2022-06-03
轨迹二里程数,119961.6969999999,71078.96199999991,26997.018999999975,8100.898999999998,610.678,2022-06-03
