,新一线城市,一线城市,二线城市,三线城市,四线城市,日期
采样用户数,1772.0,304.0,1065.0,116.0,3.0,2022-05-04
轨迹一里程数,116617.01400000007,19984.548000000006,73347.5870000001,8101.133999999998,194.702,2022-05-04
轨迹二里程数,123651.10699999993,21383.811000000012,77526.25899999999,8562.131,198.88,2022-05-04
