,新一线城市,一线城市,二线城市,三线城市,四线城市,日期
采样用户数,2446.0,619.0,1451.0,199.0,14.0,2022-08-05
轨迹一里程数,156769.87599999984,41130.739000000016,100041.98699999996,14414.666999999996,1117.589,2022-08-05
轨迹二里程数,166012.4080000002,43450.43699999998,105110.38500000013,15160.775,1188.1339999999998,2022-08-05
