,新一线城市,二线城市,三线城市,一线城市,四线城市,日期
采样用户数,1510.0,783.0,110.0,194.0,8.0,2022-04-05
轨迹一里程数,98064.90099999993,53039.38299999997,7694.04,12171.612000000003,628.602,2022-04-05
轨迹二里程数,103995.20000000014,55859.353,8020.279000000002,12913.149000000001,681.746,2022-04-05
