,新一线城市,一线城市,二线城市,三线城市,四线城市,日期
采样用户数,2448.0,633.0,1449.0,191.0,8.0,2022-08-02
轨迹一里程数,161163.9259999998,43615.950999999994,98582.51499999978,13998.944999999998,716.1290000000001,2022-08-02
轨迹二里程数,172025.5519999996,46437.14700000004,103455.71899999976,14646.372999999996,837.99,2022-08-02
