,新一线城市,二线城市,一线城市,三线城市,四线城市,日期
采样用户数,2810.0,1649.0,676.0,230.0,13.0,2022-08-04
轨迹一里程数,208634.50200000015,123901.02500000002,51259.48600000004,18386.502,1323.499,2022-08-04
轨迹二里程数,223602.82599999997,131148.98700000002,54666.824000000066,19731.993000000002,1538.872,2022-08-04
