,新一线城市,二线城市,一线城市,三线城市,四线城市,日期
采样用户数,2141.0,1245.0,473.0,145.0,6.0,2022-07-03
轨迹一里程数,140417.54000000004,86814.84999999999,30954.46,10244.392000000002,638.0060000000001,2022-07-03
轨迹二里程数,149065.31000000014,91254.74699999997,32608.42500000002,10761.615000000003,774.466,2022-07-03
