,新一线城市,二线城市,一线城市,三线城市,四线城市,日期
采样用户数,1712.0,1077.0,399.0,129.0,6.0,2022-06-04
轨迹一里程数,109809.68300000024,73325.17899999995,26333.003,9305.378,429.07,2022-06-04
轨迹二里程数,116687.02000000009,76966.66300000007,27998.606000000003,10019.822000000002,478.408,2022-06-04
