,新一线城市,一线城市,二线城市,三线城市,四线城市,日期
采样用户数,3070.0,949.0,1961.0,264.0,12.0,2022-09-04
轨迹一里程数,211225.65400000016,66787.72999999998,136121.55299999955,18850.142999999996,1010.268,2022-09-04
轨迹二里程数,225519.5360000003,71158.64900000006,142838.54999999984,19892.567000000003,1249.142,2022-09-04
