,新一线城市,二线城市,一线城市,三线城市,四线城市,日期
采样用户数,1361.0,772.0,212.0,84.0,3.0,2022-03-04
轨迹一里程数,87246.2299999999,51794.89099999998,14123.201,5549.342,213.35,2022-03-04
轨迹二里程数,92765.84000000019,54419.367999999995,14821.268999999995,5787.331999999999,229.42899999999997,2022-03-04
