,新一线城市,二线城市,三线城市,一线城市,四线城市,日期
采样用户数,1469.0,818.0,94.0,187.0,4.0,2022-04-04
轨迹一里程数,93909.61700000004,56231.65000000002,6671.117999999996,12001.646999999997,236.44500000000002,2022-04-04
轨迹二里程数,99417.76300000008,59290.08899999994,6977.168000000001,12682.829999999998,241.839,2022-04-04
