,新一线城市,一线城市,二线城市,三线城市,四线城市,日期
采样用户数,1991.0,374.0,1145.0,134.0,12.0,2022-06-01
轨迹一里程数,137699.60300000038,25130.304000000007,80253.2139999999,10311.083000000002,1081.983,2022-06-01
轨迹二里程数,147814.78800000006,26830.207999999984,84458.99199999997,10862.179999999998,1205.979,2022-06-01
