,新一线城市,一线城市,二线城市,三线城市,四线城市,日期
采样用户数,1522.0,184.0,907.0,108.0,4.0,2022-04-03
轨迹一里程数,97739.396,11855.407999999996,62016.51699999994,7437.211000000005,251.35000000000002,2022-04-03
轨迹二里程数,103728.35800000001,12482.062,65333.22499999998,7764.816999999996,267.43399999999997,2022-04-03
