,新一线城市,一线城市,二线城市,三线城市,四线城市,日期
采样用户数,1633.0,295.0,1018.0,131.0,4.0,2022-05-02
轨迹一里程数,108085.16999999995,20391.236,70479.5379999999,9050.908999999998,255.83299999999997,2022-05-02
轨迹二里程数,115370.82999999991,21881.937000000013,74285.73199999996,9495.440999999999,259.53299999999996,2022-05-02
