,新一线城市,一线城市,二线城市,三线城市,四线城市,日期
采样用户数,1290.0,221.0,732.0,81.0,3.0,2022-03-03
轨迹一里程数,80504.16300000003,14874.589000000005,48974.638000000035,5400.892999999998,232.909,2022-03-03
轨迹二里程数,85960.16199999998,15729.242999999999,51446.24300000002,5607.2890000000025,239.735,2022-03-03
