,一线城市,新一线城市,二线城市,三线城市,四线城市,日期
采样用户数,216.0,1362.0,820.0,92.0,5.0,2022-03-05
轨迹一里程数,14801.74600000001,87219.73700000007,55616.054000000055,6446.8319999999985,374.46900000000005,2022-03-05
轨迹二里程数,15560.890000000003,92287.36499999982,58402.30799999997,6765.163,387.292,2022-03-05
