,新一线城市,二线城市,一线城市,三线城市,四线城市,日期
采样用户数,1715.0,1020.0,301.0,105.0,6.0,2022-05-05
轨迹一里程数,109927.24999999999,68614.67599999998,20915.37400000001,6815.888999999999,483.512,2022-05-05
轨迹二里程数,117285.34099999999,72592.08999999994,22704.510000000002,7155.189000000006,494.2,2022-05-05
