,新一线城市,一线城市,二线城市,三线城市,四线城市,日期
采样用户数,1530.0,185.0,831.0,101.0,1.0,2022-04-01
轨迹一里程数,96269.1709999999,11665.857000000004,54405.55699999992,6581.946999999999,87.354,2022-04-01
轨迹二里程数,102465.75400000016,12344.126,57512.54499999994,6873.749999999999,102.346,2022-04-01
