,新一线城市,二线城市,一线城市,三线城市,四线城市,日期
采样用户数,2247.0,1339.0,483.0,169.0,6.0,2022-07-02
轨迹一里程数,147889.11599999966,91843.54799999995,33007.177,12472.568,403.46,2022-07-02
轨迹二里程数,157398.64700000006,96712.2100000002,34986.304999999986,13327.920000000004,429.46799999999996,2022-07-02
