,新一线城市,一线城市,二线城市,三线城市,四线城市,日期
采样用户数,2475.0,643.0,1502.0,187.0,11.0,2022-08-03
轨迹一里程数,164703.16999999987,44097.50899999999,103523.65400000008,14539.247000000001,967.954,2022-08-03
轨迹二里程数,174734.3180000003,47007.57899999999,108775.69799999986,15129.182999999999,1097.802,2022-08-03
