,新一线城市,二线城市,三线城市,一线城市,四线城市,日期
采样用户数,1819.0,1119.0,132.0,369.0,6.0,2022-06-05
轨迹一里程数,118714.46799999996,76984.55200000007,9139.166,23958.62500000002,459.366,2022-06-05
轨迹二里程数,125613.97299999974,80753.76599999995,9553.469000000001,25390.95000000001,516.3190000000001,2022-06-05
