,新一线城市,二线城市,一线城市,三线城市,四线城市,日期
采样用户数,2176.0,1304.0,468.0,147.0,6.0,2022-07-01
轨迹一里程数,141778.7400000002,89371.13900000005,31171.21299999999,11407.441999999995,446.335,2022-07-01
轨迹二里程数,151337.17300000016,94020.36799999987,33113.642999999975,12579.312000000005,521.688,2022-07-01
