,新一线城市,二线城市,一线城市,三线城市,四线城市,日期
采样用户数,1689.0,983.0,268.0,131.0,5.0,2022-05-01
轨迹一里程数,108813.15100000013,68458.87299999998,18065.568000000003,8871.317000000005,434.19900000000007,2022-05-01
轨迹二里程数,115578.33999999995,72217.42799999997,19316.758000000005,9366.005,471.89099999999996,2022-05-01
