,新一线城市,一线城市,三线城市,二线城市,四线城市,日期
采样用户数,2817.0,815.0,202.0,1707.0,11.0,2022-09-01
轨迹一里程数,187452.55999999988,56740.30499999993,14052.537000000002,116127.98599999996,883.973,2022-09-01
轨迹二里程数,199772.14900000076,60787.52400000005,14697.430999999995,122590.4419999999,991.0949999999999,2022-09-01
